assunto,codigo,codigo_pai,dispositivo_legal,artigo,alteracoes,glossario,ods,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,fonte,instancia,caminho_codigos,caminho_assuntos
Receptação culposa,11959,03415,CP,"Art. 180, §3º",glossario;,"Art. 180 - Adquirir, receber, transportar, conduzir ou ocultar, em proveito próprio ou alheio, coisa que sabe ser produto de crime, ou influir para que terceiro, de boa-fé, a adquira, receba ou oculte: (Redação dada pela Lei nº 9.426, de 1996) § 3º - Adquirir ou receber coisa que, por sua natureza ou pela desproporção entre o valor e o preço, ou pela condição de quem a oferece, deve presumir-se obtida por meio criminoso: (Redação dada pela Lei nº 9.426, de 1996) Pena - detenção, de um mês a um ano, ou multa, ou ambas as penas. (Redação dada pela Lei nº 9.426, de 1996)","ODS 16 - Paz, justiça e instituições eficazes",2013-09-18 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03415 > 11959,DIREITO PENAL > Crimes contra o Patrimônio > Receptação culposa
Receptação Qualificada,05847,03415,CP,"180, § 2º",,"Art. 180 - Adquirir, receber, transportar, conduzir ou ocultar, em proveito próprio ou alheio, coisa que sabe ser produto de crime, ou influir para que terceiro, de boa-fé, a adquira, receba ou oculte: (Redação dada pela Lei nº 9.426, de 1996) Pena - reclusão, de um a quatro anos, e multa. (Redação dada pela Lei nº 9.426, de 1996) § 2º - Equipara-se à atividade comercial, para efeito do parágrafo anterior, qualquer forma de comércio irregular ou clandestino, inclusive o exercício em residência. (Redação dada pela Lei nº 9.426, de 1996)","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03415 > 05847,DIREITO PENAL > Crimes contra o Patrimônio > Receptação Qualificada
Roubo,03419,03415,CP,"157, caput",,"Roubo Art. 157 - Subtrair coisa móvel alheia, para si ou para outrem, mediante grave ameaça ou violência a pessoa, ou depois de havê-la, por qualquer meio, reduzido à impossibilidade de resistência: Pena - reclusão, de quatro a dez anos, e multa. § 1º - Na mesma pena incorre quem, logo depois de subtraída a coisa, emprega violência contra pessoa ou grave ameaça, a fim de assegurar a impunidade do crime ou a detenção da coisa para si ou para terceiro.","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03415 > 03419,DIREITO PENAL > Crimes contra o Patrimônio > Roubo
Roubo Majorado,05566,03415,CP,"157, § 2º",,"Art. 157 - Subtrair coisa móvel alheia, para si ou para outrem, mediante grave ameaça ou violência a pessoa, ou depois de havê-la, por qualquer meio, reduzido à impossibilidade de resistência: Pena - reclusão, de quatro a dez anos, e multa. § 2º - A pena aumenta-se de um terço até metade: I - se a violência ou ameaça é exercida com emprego de arma; II - se há o concurso de duas ou mais pessoas; III - se a vítima está em serviço de transporte de valores e o agente conhece tal circunstância. IV - se a subtração for de veículo automotor que venha a ser transportado para outro Estado ou para o exterior; (Incluído pela Lei nº 9.426, de 1996) V - se o agente mantém a vítima em seu poder, restringindo sua liberdade. (Incluído pela Lei nº 9.426, de 1996)","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03415 > 05566,DIREITO PENAL > Crimes contra o Patrimônio > Roubo Majorado
Supressão ou Alteração de Marca em Animais,05570,03415,CP,162,,"Art. 162 - Suprimir ou alterar, indevidamente, em gado ou rebanho alheio, marca ou sinal indicativo de propriedade: Pena - detenção, de seis meses a três anos, e multa.","ODS 15 - Vida terrestre; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03415 > 05570,DIREITO PENAL > Crimes contra o Patrimônio > Supressão ou Alteração de Marca em Animais
Usurpação de águas,03424,03415,CP,"161, I",,"Alteração de limites Art. 161 - Suprimir ou deslocar tapume, marco, ou qualquer outro sinal indicativo de linha divisória, para apropriar-se, no todo ou em parte, de coisa imóvel alheia: Pena - detenção, de um a seis meses, e multa. § 1º - Na mesma pena incorre quem: Usurpação de águas I - desvia ou represa, em proveito próprio ou de outrem, águas alheias;","ODS 6 - Água potável e saneamento; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03415 > 03424,DIREITO PENAL > Crimes contra o Patrimônio > Usurpação de águas
Crimes contra o sentimento religioso e contra o respeito aos mortos,03457,00287,,,,,"ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03457,DIREITO PENAL > Crimes contra o sentimento religioso e contra o respeito aos mortos
Destruição / Subração / Ocultação de Cadáver,03458,03457,CP,211,,"Art. 211 - Destruir, subtrair ou ocultar cadáver ou parte dele: Pena - reclusão, de um a três anos, e multa.","ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03457 > 03458,DIREITO PENAL > Crimes contra o sentimento religioso e contra o respeito aos mortos > Destruição / Subração / Ocultação de Cadáver
Impedimento ou Perturbação de Cerimônia Funerária,03459,03457,CP,209,,"Art. 209 - Impedir ou perturbar enterro ou cerimônia funerária: Pena - detenção, de um mês a um ano, ou multa. Parágrafo único - Se há emprego de violência, a pena é aumentada de um terço, sem prejuízo da correspondente à violência.","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03457 > 03459,DIREITO PENAL > Crimes contra o sentimento religioso e contra o respeito aos mortos > Impedimento ou Perturbação de Cerimônia Funerária
Ultraje / Impedimento ou Perturbação de Culto Religioso,03462,03457,CP,208,,"Art. 208 - Escarnecer de alguém publicamente, por motivo de crença ou função religiosa; impedir ou perturbar cerimônia ou prática de culto religioso; vilipendiar publicamente ato ou objeto de culto religioso: Pena - detenção, de um mês a um ano, ou multa. Parágrafo único - Se há emprego de violência, a pena é aumentada de um terço, sem prejuízo da correspondente à violência.","ODS 3 - Saúde e bem-estar; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03457 > 03462,DIREITO PENAL > Crimes contra o sentimento religioso e contra o respeito aos mortos > Ultraje / Impedimento ou Perturbação de Culto Religioso
Vilipêndio a Cadáver,03460,03457,CP,212,,"Art. 212 - Vilipendiar cadáver ou suas cinzas: Pena - detenção, de um a três anos, e multa.","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03457 > 03460,DIREITO PENAL > Crimes contra o sentimento religioso e contra o respeito aos mortos > Vilipêndio a Cadáver
Violação a Sepultura,03461,03457,CP,210,,"Art. 210 - Violar ou profanar sepultura ou urna funerária: Pena - reclusão, de um a três anos, e multa.","ODS 11 - Cidades e comunidades sustentáveis; ODS 16 - Paz, justiça e instituições eficazes",2008-09-30 15:52:52,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 03457 > 03461,DIREITO PENAL > Crimes contra o sentimento religioso e contra o respeito aos mortos > Violação a Sepultura
Crimes em Licitações e Contratos Administrativos,15373,00287,Código Penal,337-E a 337-O,glossario;,"Capítulo II-B (DOS CRIMES EM LICITAÇÕES E CONTRATOS ADMINISTRATIVOS), do Título XI (DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA), do Código Penal.","ODS 16 - Paz, justiça e instituições eficazes",2024-07-30 17:45:23,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos
Afastamento de Licitante,15380,15373,Código Penal,337-K,glossario;,"Art. 337-K. Afastar ou tentar afastar licitante por meio de violência, grave ameaça, fraude ou oferecimento de vantagem de qualquer tipo: Pena - reclusão, de 3 (três) anos a 5 (cinco) anos, e multa, além da pena correspondente à violência. Parágrafo único. Incorre na mesma pena quem se abstém ou desiste de licitar em razão de vantagem oferecida.","ODS 16 - Paz, justiça e instituições eficazes",2024-07-31 08:19:55,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373 > 15380,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos > Afastamento de Licitante
Contratação Direta Ilegal,15374,15373,Código Penal,337-E,glossario;,"Art. 337-E. Admitir, possibilitar ou dar causa à contratação direta fora das hipóteses previstas em lei: Pena - reclusão, de 4 (quatro) a 8 (oito) anos, e multa. Capítulo II-B (DOS CRIMES EM LICITAÇÕES E CONTRATOS ADMINISTRATIVOS), do Título XI (DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA), do Código Penal.","ODS 16 - Paz, justiça e instituições eficazes",2024-07-30 17:52:17,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373 > 15374,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos > Contratação Direta Ilegal
Contratação Inidônea,15382,15373,Código Penal,337-M,glossario;,"Art. 337-M. Admitir à licitação empresa ou profissional declarado inidôneo: Pena - reclusão, de 1 (um) ano a 3 (três) anos, e multa. § 1º Celebrar contrato com empresa ou profissional declarado inidôneo: Pena - reclusão, de 3 (três) anos a 6 (seis) anos, e multa. § 2º Incide na mesma pena do caput deste artigo aquele que, declarado inidôneo, venha a participar de licitação e, na mesma pena do § 1º deste artigo, aquele que, declarado inidôneo, venha a contratar com a Administração Pública.","ODS 16 - Paz, justiça e instituições eficazes",2024-07-31 08:26:35,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373 > 15382,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos > Contratação Inidônea
Fraude em Licitação ou Contrato,15381,15373,Código Penal,337-L,glossario;,"Art. 337-L. Fraudar, em prejuízo da Administração Pública, licitação ou contrato dela decorrente, mediante: I - entrega de mercadoria ou prestação de serviços com qualidade ou em quantidade diversas das previstas no edital ou nos instrumentos contratuais; II - fornecimento, como verdadeira ou perfeita, de mercadoria falsificada, deteriorada, inservível para consumo ou com prazo de validade vencido; III - entrega de uma mercadoria por outra; IV - alteração da substância, qualidade ou quantidade da mercadoria ou do serviço fornecido; V - qualquer meio fraudulento que torne injustamente mais onerosa para a Administração Pública a proposta ou a execução do contrato: Pena - reclusão, de 4 (quatro) anos a 8 (oito) anos, e multa.","ODS 16 - Paz, justiça e instituições eficazes",2024-07-31 08:22:50,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373 > 15381,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos > Fraude em Licitação ou Contrato
Frustração do Caráter Competitivo de Licitação,15375,15373,Código Penal,337-F,glossario;,"Art. 337-F. Frustrar ou fraudar, com o intuito de obter para si ou para outrem vantagem decorrente da adjudicação do objeto da licitação, o caráter competitivo do processo licitatório : Pena - reclusão, de 4 (quatro) anos a 8 (oito) anos, e multa.","ODS 16 - Paz, justiça e instituições eficazes",2024-07-30 17:57:19,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373 > 15375,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos > Frustração do Caráter Competitivo de Licitação
Impedimento Indevido,15383,15373,Código Penal,337-N,glossario;,"Art. 337-N. Obstar, impedir ou dificultar injustamente a inscrição de qualquer interessado nos registros cadastrais ou promover indevidamente a alteração, a suspensão ou o cancelamento de registro do inscrito: (Incluído pela Lei nº 14.133, de 2021) Pena - reclusão, de 6 (seis) meses a 2 (dois) anos, e multa. (Incluído pela Lei nº 14.133, de 2021)","ODS 16 - Paz, justiça e instituições eficazes",2024-07-31 08:29:23,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373 > 15383,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos > Impedimento Indevido
Modificação ou Pagamento Irregular em Contrato Administrativo,15377,15373,Código Penal,337-H,glossario;,"rt. 337-H. Admitir, possibilitar ou dar causa a qualquer modificação ou vantagem, inclusive prorrogação contratual, em favor do contratado, durante a execução dos contratos celebrados com a Administração Pública, sem autorização em lei, no edital da licitação ou nos respectivos instrumentos contratuais, ou, ainda, pagar fatura com preterição da ordem cronológica de sua exigibilidade: Pena - reclusão, de 4 (quatro) anos a 8 (oito) anos, e multa.","ODS 16 - Paz, justiça e instituições eficazes",2024-07-31 08:10:19,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,00287 > 15373 > 15377,DIREITO PENAL > Crimes em Licitações e Contratos Administrativos > Modificação ou Pagamento Irregular em Contrato Administrativo
