sequencialPrecedente,tipoPrecedente,numeroPrecedente,Processo,numeroRegistro,ministroRelator,leadingCase,dataAfetacao,dataPublicacaoAfetacao,observacaoAfetacao,NOME_MINISTRO_AFETACAO,dataVistaMPF,dataJulgamento,dataPbulicacaoAcordao,processoSTF,dataRemessaSTF,situacaoProcessoSTF,tribunalOrigem,siglaTribunalOrigem,siglaRegiaoOrigem,origemUF,tipoJusticaOrigem,quantidadeProcessosSuspensoNaOrigem,dataPublicacaoEmbargosDeDeclaração,Desafetação,Embargos de Divergência
507,Tema,250,REsp 1116620,200900068267,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-08-09,2010-08-25,RE 631039,,Baixado,Tribunal Regional Federal da 1ª Região,TRF1      ,CO,DF,Justiça Federal,0,,,
508,Tema,251,REsp 1117903,200900740539,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,,,
509,Tema,252,REsp 1117903,200900740539,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,,,
510,Tema,253,REsp 1117903,200900740539,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,,,
511,Tema,254,REsp 1117903,200900740539,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal de Justiça do Estado do Rio Grande do Sul,TJRS      ,SU,RS,Justiça Estadual,0,,,
512,Tema,255,REsp 1123539,200900277358,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
513,Tema,256,REsp 1123557,200900277740,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-11-25,2009-12-18,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
514,Tema,257,REsp 1124420,200900300825,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2012-02-29,2012-03-14,,,,Tribunal Regional Federal da 1ª Região,TRF1      ,CO,DF,Justiça Federal,0,,,
515,Tema,258,REsp 1124537,200900309955,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-11-25,2009-12-18,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,2010-05-21,,
516,Tema,259,REsp 1125133,200900339844,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-08-25,2010-09-10,,,,Tribunal de Justiça do Estado de São Paulo - Av. Brigadeiro,TJSP      ,SE,SP,Justiça Estadual,0,2013-08-02,,
517,Tema,260,REsp 1127815,200900453592,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-11-24,2010-12-14,,,,Tribunal de Justiça do Estado de São Paulo - Av. Brigadeiro,TJSP      ,SE,SP,Justiça Estadual,0,,,
517,Tema,260,REsp 1127815,200900453592,LUIZ FUX,S,2010-09-10,2010-09-10,,LUIZ FUX,2009-10-16,2010-11-24,2010-12-14,,,,Tribunal de Justiça do Estado de São Paulo - Av. Brigadeiro,TJSP      ,SE,SP,Justiça Estadual,0,,,
518,Tema,261,REsp 1135489,200900695023,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal de Justiça do Estado de Alagoas,TJAL      ,NE,AL,Justiça Estadual,0,,,
519,Tema,262,REsp 1136144,200900740705,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 2ª Região,TRF2      ,SE,RJ,Justiça Federal,0,,,
520,Tema,263,REsp 1136210,200900741776,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
521,Tema,264,REsp 1137497,200900819853,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-04-14,2010-04-27,,,,Tribunal Regional Federal da 5ª Região,TRF5      ,NE,PE,Justiça Federal,0,,,
522,Tema,265,REsp 1137738,200900823661,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
523,Tema,266,REsp 1138159,200900846292,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-11-25,2010-02-01,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
524,Tema,267,REsp 1138159,200900846292,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-11-25,2010-02-01,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
525,Tema,268,REsp 1138202,200900847139,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 2ª Região,TRF2      ,SE,RJ,Justiça Federal,0,,,
526,Tema,269,REsp 1138206,200900847330,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-08-09,2010-09-01,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
527,Tema,270,REsp 1138206,200900847330,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-08-09,2010-09-01,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
528,Tema,271,REsp 1140956,200900897539,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-11-24,2010-12-03,,,,Tribunal de Justiça de São Paulo - Páteo do Colégio,TJSPCF    ,SE,SP,Justiça Estadual,0,,,
529,Tema,272,REsp 1148444,200900143826,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-04-14,2010-04-27,,,,Tribunal de Justiça do Estado de Minas Gerais,TJMG      ,SE,MG,Justiça Estadual,0,,,
530,Tema,273,REsp 1123306,200900271598,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
531,Tema,274,REsp 1131718,200900601670,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-03-24,2010-04-09,,,,Tribunal de Justiça do Estado de São Paulo - Av. Brigadeiro,TJSP      ,SE,SP,Justiça Estadual,0,2010-08-25,,
532,Tema,275,REsp 1134665,200900670344,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-11-25,2009-12-18,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
533,Tema,276,REsp 1134903,200900675369,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-06-09,2010-06-24,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
534,Tema,277,REsp 1134903,200900675369,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2010-06-09,2010-06-24,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,,
535,Tema,278,REsp 1135534,200900698154,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal de Justiça do Estado de Pernambuco,TJPE      ,NE,PE,Justiça Estadual,0,,,
536,Tema,279,REsp 1140042,200900917093,LUIZ FUX,N,2009-10-15,2009-10-15,,LUIZ FUX,,,,,,,Tribunal Regional Federal da 3ª Região,TRF3      ,SE,SP,Justiça Federal,0,,2010-04-09 : Julgado como recurso repetido ao REsp 1141065/SC.,
536,Tema,279,REsp 1141065,200900959329,LUIZ FUX,S,2009-10-15,2009-10-15,,LUIZ FUX,2009-10-16,2009-12-09,2010-02-01,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
537,Tema,280,REsp 1116364,200900064330,CASTRO MEIRA,N,2009-10-16,2009-10-16,,CASTRO MEIRA,2009-12-14,2010-05-26,2010-09-10,,,,Tribunal Regional Federal da 1ª Região,TRF1      ,CO,DF,Justiça Federal,0,2011-05-11,,
537,Tema,280,Pet 12344,201802308035,OG FERNANDES,S,2018-09-04,,,OG FERNANDES,2018-09-04,2020-10-28,2020-11-13,,,,Superior Tribunal de Justiça,STJ       ,CO,DF,Superior Tribunal de Justiça,0,,,
538,Tema,281,REsp 1116364,200900064330,CASTRO MEIRA,N,2009-10-16,2009-10-16,,CASTRO MEIRA,2009-12-14,2010-05-26,2010-09-10,,,,Tribunal Regional Federal da 1ª Região,TRF1      ,CO,DF,Justiça Federal,0,2011-05-11,,
538,Tema,281,Pet 12344,201802308035,OG FERNANDES,S,2018-09-04,,,OG FERNANDES,2018-09-04,2020-10-28,2020-11-13,,,,Superior Tribunal de Justiça,STJ       ,CO,DF,Superior Tribunal de Justiça,0,,,
539,Tema,282,REsp 1116364,200900064330,CASTRO MEIRA,N,2009-10-16,2009-10-16,,CASTRO MEIRA,2009-12-14,2010-05-26,2010-09-10,,,,Tribunal Regional Federal da 1ª Região,TRF1      ,CO,DF,Justiça Federal,0,2011-05-11,,
539,Tema,282,Pet 12344,201802308035,OG FERNANDES,S,2018-09-04,,,OG FERNANDES,2018-09-04,2020-10-28,2020-11-13,,,,Superior Tribunal de Justiça,STJ       ,CO,DF,Superior Tribunal de Justiça,0,,,
540,Tema,283,REsp 1116364,200900064330,CASTRO MEIRA,N,2009-10-16,2009-10-16,,CASTRO MEIRA,2009-12-14,2010-05-26,2010-09-10,,,,Tribunal Regional Federal da 1ª Região,TRF1      ,CO,DF,Justiça Federal,0,2011-05-11,,
540,Tema,283,Pet 12344,201802308035,OG FERNANDES,S,2018-09-04,,,OG FERNANDES,2018-09-04,2020-10-28,2020-11-13,,,,Superior Tribunal de Justiça,STJ       ,CO,DF,Superior Tribunal de Justiça,0,,,
541,Tema,284,REsp 1008667,200702742325,LUIZ FUX,S,2009-10-13,2009-10-13,,LUIZ FUX,2009-10-16,2009-11-18,2009-12-17,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
542,Tema,285,REsp 1131805,200900604625,LUIZ FUX,S,2009-10-09,2009-10-09,,LUIZ FUX,2009-10-16,2010-03-03,2010-04-08,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,2010-10-19,,
543,Tema,286,REsp 1131805,200900604625,LUIZ FUX,S,2009-10-09,2009-10-09,,LUIZ FUX,2009-10-16,2010-03-03,2010-04-08,,,,Tribunal de Justiça do Estado de Santa Catarina,TJSC      ,SU,SC,Justiça Estadual,0,2010-10-19,,
544,Tema,287,REsp 1114767,200900718610,LUIZ FUX,S,2009-10-09,2009-10-09,,LUIZ FUX,2009-10-16,2009-12-02,2010-02-04,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,,,
545,Tema,288,REsp 1116287,200900063205,LUIZ FUX,S,2009-10-09,2009-10-09,,LUIZ FUX,2009-10-16,2009-12-02,2010-02-04,,,,Tribunal de Justiça do Estado de São Paulo - Av. Brigadeiro,TJSP      ,SE,SP,Justiça Estadual,0,,,
546,Tema,289,REsp 1143471,200901066392,LUIZ FUX,S,2009-10-16,2009-10-16,,LUIZ FUX,2009-10-20,2010-02-03,2010-02-22,,,,Tribunal Regional Federal da 4ª Região,TRF4      ,SU,RS,Justiça Federal,0,2010-08-19,,
