"situacao";"dat_alteracao";"codigo";"descricao";"cod_pai";"cod_filhos";"cod_filhos_ativos";"nivel"
"A";"";"12700";"Não-Acolhimento (Registro Indeferido)";"12678.0";"";"";"5"
"A";"";"12701";"Não-Acolhimento (Registro Cancelado)";"12678.0";"";"";"5"
"A";"";"12702";"Não-Acolhimento (Registro Cassado)";"12678.0";"";"";"5"
"A";"";"12703";"Não-Acolhimento (Registro Sem Julgamento)";"12678.0";"";"";"5"
"A";"";"12709";"Registro de Candidatura";"218.0";"12710,12711,12712,12713,12714,12715,12716,12717,12718,12719,12720,12721,12722,12723,12724,14218";"12710,12711,12712,12713,12714,12715,12716,12717,12718,12719,12720,12721,12722,12723,12724,14218";"4"
"A";"";"12710";"Anulação de Acórdão (Registro Deferido)";"12709.0";"";"";"5"
"A";"";"12711";"Anulação de Acórdao (Registro Indeferido)";"12709.0";"";"";"5"
"A";"";"12712";"Anulação de Acórdão (Registro Cancelado)";"12709.0";"";"";"5"
"A";"";"12713";"Anulação de Acórdão (Registro Cassado)";"12709.0";"";"";"5"
"A";"";"12714";"Anulação de Acórdão (Registro Sem Julgamento)";"12709.0";"";"";"5"
"A";"";"12715";"Não Conhecimento (Registro Deferido)";"12709.0";"";"";"5"
"A";"";"12716";"Não Conhecimento (Registro Indeferido)";"12709.0";"";"";"5"
"A";"";"12717";"Não Conhecimento (Registro Cancelado)";"12709.0";"";"";"5"
"A";"";"12718";"Não Conhecimento (Registro Cassado)";"12709.0";"";"";"5"
"A";"";"12719";"Não Conhecimento (Registro Sem Julgamento)";"12709.0";"";"";"5"
"A";"";"12720";"Negação de Seguimento (Registro Deferido)";"12709.0";"";"";"5"
"A";"";"12721";"Negação de Seguimento (Registro Indeferido)";"12709.0";"";"";"5"
"A";"";"12722";"Negação de Seguimento (Registro Cancelado)";"12709.0";"";"";"5"
"A";"";"12723";"Negação de Seguimento (Registro Cassado)";"12709.0";"";"";"5"
"A";"";"12724";"Negação de Seguimento (Registro Sem Julgamento)";"12709.0";"";"";"5"
"A";"";"12733";"Homologação do Acordo de Não Persecução Penal";"378.0";"";"";"4"
"A";"";"12734";"Revogação do Acordo de Não Persecução Penal";"157.0";"";"";"4"
"A";"2024-03-15 14:22:29";"12735";"Cumprimento de ANPP";"973.0";"";"";"5"
"A";"";"12736";"Unificação de Processos de Execução";"3.0";"";"";"3"
"A";"";"12737";"Revogação da Suspensão Condicional do Processo";"157.0";"";"";"4"
"A";"";"12738";"Homologação de Transação Penal";"385.0";"";"";"4"
"A";"2020-06-17 14:36:57";"12739";"Admonitória";"970.0";"";"";"4"
"A";"";"12740";"de Conciliação";"970.0";"";"";"4"
"A";"";"12741";"de Acolhimento";"970.0";"";"";"4"
"A";"";"12742";"de Custódia";"970.0";"";"";"4"
"A";"";"12743";"de Interrogatório";"970.0";"";"";"4"
"A";"";"12744";"de Justificação";"970.0";"15237";"";"4"
"A";"";"12745";"do art. 16 da Lei 11.340";"970.0";"";"";"4"
"A";"";"12746";"em Execução";"970.0";"";"";"4"
"A";"";"12747";"Inicial";"970.0";"12748";"";"4"
"A";"";"12749";"de Instrução";"970.0";"";"";"4"
"A";"";"12750";"de Instrução e Julgamento";"970.0";"";"";"4"
"A";"";"12751";"de Julgamento";"970.0";"";"";"4"
"A";"";"12752";"de Mediação";"970.0";"";"";"4"
"A";"";"12753";"Preliminar";"970.0";"";"";"4"
"A";"";"12768";"Manutenção de Acórdão";"3.0";"";"";"3"
"A";"2020-07-15 16:30:23";"12769";"Desclassificação de Delito";"3.0";"";"";"3"
"A";"2020-09-17 15:30:51";"12792";"Procedência da Impugnação (Registro Cassado)";"12661.0";"";"";"5"
"A";"";"14091";"Devolvidos os autos após Pedido de Vista";"48.0";"";"";"3"
"A";"";"14092";"Voto";"1.0";"14093,14094,14095";"14093,14094,14095";"2"
"A";"";"14093";"Voto do Relator";"14092.0";"";"";"3"
"A";"";"14094";"Voto Divergente Vencedor";"14092.0";"";"";"3"
"A";"";"14095";"Outros Votos";"14092.0";"";"";"3"
"A";"";"14096";"Audiência Pública";"970.0";"";"";"4"
"A";"";"14099";"Homologação de Acordo em Execução ou em Cumprimento de Sentença";"385.0";"";"";"4"
"A";"";"14210";"Indeferimento do Pedido de Registro de Candidatura";"12678.0";"";"";"5"
"A";"";"14211";"Homologação da Renúncia ao Registro de Candidatura";"12678.0";"";"";"5"
"A";"2021-01-25 16:40:22";"14212";"Sistema de Candidaturas Reaberto";"48.0";"";"";"3"
"A";"";"14213";"Acolhimento em Parte (Registro Deferido)";"12678.0";"";"";"5"
"A";"";"14214";"Acolhimento em Parte (Registro Indeferido)";"12678.0";"";"";"5"
"A";"";"14215";"Acolhimento em Parte (Registro Cancelado)";"12678.0";"";"";"5"
"A";"";"14216";"Acolhimento em Parte (Registro Cassado)";"12678.0";"";"";"5"
"A";"";"14217";"Acolhimento em Parte (Registro sem Julgamento)";"12678.0";"";"";"5"
"A";"";"14218";"Anulação de Sentença (Registro Sem Julgamento)";"12709.0";"";"";"5"
"A";"";"14219";"Contas Regularizadas";"385.0";"";"";"4"
"A";"";"14231";"Impugnação ao Cumprimento de Sentença";"3.0";"14232,14233,14234,14235";"14232,14233,14234,14235";"3"
"A";"";"14232";"Acolhimento";"14231.0";"";"";"4"
"A";"";"14233";"Não-Acolhimento";"14231.0";"";"";"4"
"A";"";"14234";"Acolhimento em Parte";"14231.0";"";"";"4"
"A";"";"14235";"Rejeição";"14231.0";"";"";"4"
"A";"";"14680";"Exequatur";"214.0";"";"";"5"
"A";"2024-11-12 16:17:20";"14681";"Descumprimento de Medida Protetiva da Lei Maria Penha";"3.0";"";"";"3"
"A";"";"14682";"Medida Cautelar Diversa da Prisão";"817.0";"";"";"4"
"A";"";"14683";"Medida Cautelar Diversa da Prisão";"157.0";"";"";"4"
"A";"";"14702";"Incidente ou Cautelar - Procedimento Resolvido";"3.0";"";"";"3"
"A";"";"14732";"Conversão de Autos Físicos em Eletrônicos";"48.0";"";"";"3"
"A";"";"14736";"Inclusão no Juízo 100% Digital";"48.0";"";"";"3"
"A";"";"14737";"Exclusão do Juízo 100% Digital";"48.0";"";"";"3"
"A";"";"14738";"Retificação de Classe Processual";"48.0";"";"";"3"
"A";"";"14739";"Evolução da Classe Processual";"48.0";"";"";"3"
"A";"";"14776";"Homologação em Parte";"3.0";"";"";"3"
"A";"2023-08-08 08:17:15";"14777";"Sentença Estrangeira";"385.0";"";"";"4"
"A";"2023-08-08 08:17:38";"14778";"Sentença Estrangeira";"385.0";"";"";"4"
"A";"";"14848";"Ausência de Requerimento Administrativo Prévio";"456.0";"";"";"5"
"A";"";"14901";"Perícia";"48.0";"14903,14904,14905,14906,14907,14908";"14903,14904,14905,14906,14907,14908";"3"
"A";"";"14903";"Determinada/Designada";"14901.0";"";"";"4"
"A";"";"14904";"Agendada";"14901.0";"";"";"4"
"A";"";"14905";"Realizada";"14901.0";"";"";"4"
"A";"";"14906";"Cancelada";"14901.0";"";"";"4"
"A";"";"14907";"Reagendada";"14901.0";"";"";"4"
"A";"";"14908";"Não Realizada";"14901.0";"";"";"4"
"A";"";"14937";"Acolhimento da Justificativa do Mesário Faltoso ou Dispensa de Multa";"385.0";"";"";"4"
"A";"";"14961";"Erro ou Recusa na Comunicação";"12281.0";"";"";"4"
"A";"2021-12-01 17:15:13";"14968";"Por Incidente de Assunção de Competência - IAC";"25.0";"";"";"4"
"A";"";"14969";"Por Grupo de Representativos";"25.0";"";"";"4"
"A";"";"14970";"Por Controvérsia";"25.0";"";"";"4"
"A";"";"14971";"Por Ação de Controle Concentrado de Constitucionalidade";"25.0";"";"";"4"
"A";"";"14972";"Por Decisão do Presidente do TST - SIRDR";"25.0";"";"";"4"
"A";"2022-10-11 16:03:43";"14973";"Por Recurso de Revista Repetitivo";"25.0";"";"";"4"
"A";"";"14974";"Levantamento da Causa Suspensiva ou de Sobrestamento";"48.0";"14975,14976,14977,14978,14979,14980,14981,14982,14983,14984,14985,15414,15416";"14975,14976,14977,14978,14979,14980,14981,14982,14983,14984,14985,15414,15416";"3"
"A";"";"14975";"Suspensão/Sobrestamento por Recurso Extraordinário com Repercussão Geral";"14974.0";"";"";"4"
"A";"";"14976";"Suspensão/Sobrestamento por Recurso Especial Repetitivo";"14974.0";"";"";"4"
"A";"";"14977";"Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR";"14974.0";"";"";"4"
"A";"";"14978";"Suspensão/Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR";"14974.0";"";"";"4"
"A";"";"14979";"Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC";"14974.0";"";"";"4"
"A";"";"14980";"Suspensão/Sobrestamento Determinada por Grupo de Representativos";"14974.0";"";"";"4"
"A";"";"14981";"Suspensão/Sobrestamento Determinada por Controvérsia";"14974.0";"";"";"4"
"A";"";"14982";"Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade  - STF";"14974.0";"";"";"4"
"A";"";"14983";"Suspensão/Sobrestamento Determinada por Decisão do Presidente do TST - SIRDR";"14974.0";"";"";"4"
"A";"";"14984";"Suspensão/Sobrestamento Determinada por Recurso de Revista Repetitivo";"14974.0";"";"";"4"
"A";"";"14985";"Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas";"14974.0";"";"";"4"
"A";"";"14997";"Arquivamento Provisório - Aguardando Captura de Réu Condenado";"861.0";"";"";"4"
"A";"2023-06-09 15:01:59";"14998";"Arquivamento Provisório - Adolescente Aguardando Apreensão";"861.0";"";"";"4"
"A";"2021-12-03 16:39:25";"14999";"Iniciada Tramitação Direta entre MP e Autoridade Policial";"48.0";"";"";"3"
"A";"";"15000";"Finalizada Tramitação Direta entre MP e Autoridade Policial";"48.0";"";"";"3"
"A";"";"15009";"Por Impedimento ou Suspeição";"11025.0";"";"";"4"
"A";"";"15021";"Destaque para Julgamento Presencial";"12198.0";"";"";"4"
"A";"";"15022";"Rejeição de Justificativa do Mesário Faltoso ou Manutenção de Multa";"385.0";"";"";"4"
"A";"";"15023";"DRAP Deferido";"12678.0";"";"";"5"
"A";"";"15024";"DRAP Indeferido";"12678.0";"";"";"5"
"A";"";"15025";"Revogação da Transação Penal";"157.0";"";"";"4"
"A";"";"15026";"Cancelamento de Inscrição Eleitoral";"385.0";"";"";"4"
"A";"";"15027";"Manutenção da Inscrição Eleitoral";"385.0";"";"";"4"
"A";"2022-03-22 17:23:59";"15028";"Acolhimento de Pedido de Inclusão em Lista Especial";"385.0";"";"";"4"
"A";"";"15029";"Indeferimento de Pedido de Inclusão em Lista Especial";"385.0";"";"";"4"
"A";"";"15030";"Cancelamento de Filiação Partidária";"385.0";"";"";"4"
"A";"";"15032";"Manutenção da Prisão Preventiva";"108.0";"";"";"4"
"A";"";"15045";"Audiência de Apresentação de Adolescente";"970.0";"";"";"4"
"A";"";"15049";"Audiência Concentrada Protetiva";"970.0";"";"";"4"
"A";"";"15050";"Audiência Concentrada Infracional";"970.0";"";"";"4"
"A";"2022-06-01 16:17:34";"15057";"Admissão de Recurso de Embargos à SDI/TST";"206.0";"";"";"4"
"A";"";"15058";"Admissão de Recurso de Embargos à SDC/TST";"206.0";"";"";"4"
"A";"";"15059";"Não Admissão de Recurso de Embargos à SDI/TST";"207.0";"";"";"4"
"A";"";"15060";"Não Admissão de Recurso de Embargos à SDC/TST";"207.0";"";"";"4"
"A";"";"15061";"Impugnação aos Cálculos de Liquidação";"3.0";"15062,15063,15064,15065";"15062,15063,15064,15065";"3"
"A";"";"15062";"Acolhimento";"15061.0";"";"";"4"
"A";"";"15063";"Acolhimento em Parte";"15061.0";"";"";"4"
"A";"";"15064";"Não Acolhimento";"15061.0";"";"";"4"
"A";"";"15065";"Não Admissão";"15061.0";"";"";"4"
"A";"";"15067";"REsp Sobrestado por Possível Prejudicialidade de RE";"25.0";"";"";"4"
"A";"2023-08-08 08:16:46";"15078";"Substituição de Medida Socioeducativa";"817.0";"";"";"4"
"A";"";"15079";"Suspensão de Medida Socioeducativa";"817.0";"";"";"4"
"A";"";"15080";"Reavaliação de Medida Socioeducativa";"1013.0";"";"";"4"
"A";"";"15081";"Busca e Apreensão de Adolescente";"1013.0";"";"";"4"
"A";"";"15082";"Revogação de Internação de Adolescente";"3.0";"";"";"3"
"A";"2023-08-08 08:17:45";"15083";"Manutenção de Internação Provisória";"15232.0";"";"";"4"
"A";"";"15084";"Desinternação de Adolescente";"3.0";"";"";"3"
"A";"";"15085";"Emenda à Inicial";"1013.0";"";"";"4"
"A";"";"15086";"Deferimento em Parte";"3.0";"";"";"3"
"A";"";"15092";"Registro de Candidatura";"48.0";"15093,15094,15095,15096,15097,15098,15099,15100,15157,15158";"15093,15094,15095,15096,15097,15098,15099,15100,15157,15158";"3"
"A";"";"15093";"Cancelamento de Diplomação";"15092.0";"";"";"4"
"A";"";"15094";"Pendência de Diplomação";"15092.0";"";"";"4"
"A";"";"15095";"Diplomação";"15092.0";"";"";"4"
"A";"";"15096";"Alteração da Declaração de Bens";"15092.0";"";"";"4"
"A";"";"15097";"Alteração do Nome para Urna";"15092.0";"";"";"4"
"A";"";"15098";"Alteração da Foto";"15092.0";"";"";"4"
"A";"";"15099";"Alteração do Número do Candidato";"15092.0";"";"";"4"
"A";"";"15100";"Alteração da Data de Nascimento do Candidato";"15092.0";"";"";"4"
"A";"";"15101";"Conclusão";"12289.0";"";"";"4"
"A";"";"15102";"Sessão Restaurativa";"48.0";"15714,15715,15716";"15714,15715,15716";"3"
"A";"";"15103";"Gratuidade da Justiça";"888.0";"";"";"4"
"A";"";"15157";"Registro de Falecimento";"15092.0";"";"";"4"
"A";"";"15158";"Registro de Renúncia";"15092.0";"";"";"4"
"A";"";"15162";"Acolhimento de Embargos de Declaração";"3.0";"";"";"3"
"A";"";"15163";"Acolhimento em Parte de Embargos de Declaração";"3.0";"";"";"3"
"A";"";"15164";"Não Acolhimento de Embargos de Declaração";"3.0";"";"";"3"
"A";"";"15165";"Resolução Aprovada";"385.0";"";"";"4"
"A";"";"15166";"Resolução Desaprovada";"385.0";"";"";"4"
"A";"";"15168";"De Liquidação, Cumprimento de Sentença ou Execução por Nulidade da Fase de Conhecimento ";"12289.0";"";"";"4"
"A";"";"15183";"Pedido de Uniformização de Interpretação de Lei";"207.0";"";"";"4"
"A";"";"15185";"Cooperação Judiciária";"1.0";"";"";"2"
"A";"";"15186";"Cooperação Judiciária";"48.0";"";"";"3"
"A";"";"15188";"Audiência de Depoimento Especial";"970.0";"";"";"4"
"A";"";"15200";"Manutenção da Medida Socioeducativa";"1013.0";"";"";"4"
"A";"";"15201";"Homologação do Plano Individual de Atendimento (PIA)";"378.0";"";"";"4"
"A";"";"15202";"Determinação de Alteração ou Complementação do Plano Individual de Atendimento (PIA)";"1013.0";"";"";"4"
"A";"";"15203";"Manutenção de Sentença/Decisão Anterior - Infância e Juventude";"3.0";"";"";"3"
"A";"";"15204";"Não Localização do Adolescente";"25.0";"";"";"4"
"A";"";"15205";"Manutenção de Acolhimento Institucional/em Família Acolhedora";"3.0";"";"";"3"
"A";"";"15206";"Desacolhimento Institucional/de Família Acolhedora";"3.0";"";"";"3"
"A";"";"15207";"Aproximação de Pretendente à Adoção";"1008.0";"";"";"4"
"A";"";"15208";"Aproximação de Pretendente à Adoção";"157.0";"";"";"4"
"A";"";"15209";"Busca Ativa para Adoção";"1008.0";"";"";"4"
"A";"";"15210";"Busca Ativa para Adoção";"157.0";"";"";"4"
"A";"";"15211";"Procedência do Pedido com Aplicação de Medida Socioeducativa";"385.0";"";"";"4"
"A";"";"15212";"Procedência do Pedido sem Aplicação de Medida Socioeducativa";"385.0";"";"";"4"
"A";"";"15213";"Procedência em Parte do Pedido com Aplicação de Medida Socioeducativa";"385.0";"";"";"4"
"A";"";"15214";"Procedência em Parte do Pedido sem Aplicação de Medida Socioeducativa";"385.0";"";"";"4"
"A";"";"15216";"Determinação de Citação";"11009.0";"";"";"3"
"A";"";"15223";"Prejudicado o Pedido";"3.0";"";"";"3"
"A";"";"15225";"Indicação de Recurso como Representativo de Controvérsia";"11009.0";"";"";"3"
"A";"";"15226";"Rejeição de Recurso Como Representativo de Controvérsia";"11009.0";"";"";"3"
"A";"";"15227";"Reconsideração de Recurso como Representativo de Controvérsia";"11009.0";"";"";"3"
"A";"";"15229";"Indeferimento de Internação";"3.0";"15230,15231";"15230,15231";"3"
"A";"";"15230";"Provisória";"15229.0";"";"";"4"
"A";"";"15231";"Sanção";"15229.0";"";"";"4"
"A";"";"15232";"Manutenção da Internação";"3.0";"15083,15233";"15083,15233";"3"
"A";"";"15233";"Sanção";"15232.0";"";"";"4"
"A";"";"15234";"Sem Reinício de Prazo";"12425.0";"";"";"4"
"A";"";"15235";"Com Reinício de Prazo";"12425.0";"";"";"4"
"A";"";"15238";"Homologação de Acordo ou Transação";"11025.0";"";"";"4"
"A";"";"15244";"Homologação de Acordo Parcial em Execução ou em Cumprimento de Sentença";"3.0";"";"";"3"
"A";"";"15245";"Unificação de Medida Socioeducativa";"456.0";"";"";"5"
"A";"";"15246";"Não Confirmada";"12286.0";"";"";"5"
"A";"";"15247";"Por Expedição de Precatório";"25.0";"";"";"4"
"A";"";"15248";"Por Expedição de RPV";"25.0";"";"";"4"
"A";"2023-09-26 16:35:20";"15249";"Morte do Adolescente/Socioeducando";"456.0";"";"";"5"
"A";"";"15250";"Aplicação de Pena Privativa de Liberdade ao Adolescente/Socioeducando";"456.0";"15251";"15251";"5"
"A";"";"15251";"Condição de Doença Grave do Adolescente/Socioeducando";"15250.0";"";"";"6"
"A";"";"15252";"Extinção do processo de execução de medida socioeducativa em razão da perda do caráter pedagógico";"385.0";"";"";"4"
"A";"";"15253";"Concessão de Remissão a Adolescente com Extinção do Processo";"218.0";"15254,15255,15256,15257,15258,15259";"15254,15255,15256,15257,15258,15259";"4"
"A";"";"15254";"Justiça Restaurativa";"15253.0";"";"";"5"
"A";"";"15255";"Sem Medida Socioeducativa";"15253.0";"";"";"5"
"A";"";"15256";"Liberdade Assistida";"15253.0";"";"";"5"
"A";"";"15257";"Prestação de Serviços à Comunidade";"15253.0";"";"";"5"
"A";"";"15258";"Reparação de Dano";"15253.0";"";"";"5"
"A";"";"15259";"Advertência";"15253.0";"";"";"5"
"A";"";"15260";"Homologada a Remissão";"218.0";"15261,15262,15263,15264,15265,15266";"15261,15262,15263,15264,15265,15266";"4"
"A";"";"15261";"Justiça Restaurativa";"15260.0";"";"";"5"
"A";"";"15262";"Sem Medida Socioeducativa";"15260.0";"";"";"5"
"A";"";"15263";"Liberdade Assistida";"15260.0";"";"";"5"
"A";"";"15264";"Prestação de Serviços à Comunidade";"15260.0";"";"";"5"
"A";"";"15265";"Reparação do Dano";"15260.0";"";"";"5"
"A";"";"15266";"Advertência";"15260.0";"";"";"5"
"A";"";"15322";"Extinção da Pena - Cumprimento de Sursis";"973.0";"";"";"5"
"A";"";"15366";"Acolhimento em Parte de Exceção de Pré-Executividade";"3.0";"";"";"3"
"A";"";"15408";"Não Conhecimento de Embargos de Declaração";"218.0";"";"";"4"
"A";"";"15409";"Não Conhecimento de Embargos de Declaração";"3.0";"";"";"3"
"A";"";"15413";"Ação Coletiva";"25.0";"";"";"4"
"A";"";"15414";"Ação Coletiva";"14974.0";"";"";"4"
"A";"2024-09-26 13:57:20";"15415";"Incidente de Resolução de Demandas Repetitivas do TST";"25.0";"";"";"4"
"A";"";"15416";"Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas do TST";"14974.0";"";"";"4"
"A";"";"15417";"Migração de Sistema Eletrônico";"48.0";"";"";"3"
"A";"";"15418";"Por Divergência de Entendimento com TST";"12765.0";"";"";"4"
"A";"";"15420";"Acolhimento de Proposta de Afetação";"12198.0";"";"";"4"
"A";"";"15421";"Rejeição de Proposta de Afetação";"12198.0";"";"";"4"
"A";"";"15422";"Suspensão para Submissão de Proposta de Afetação";"12198.0";"";"";"4"
"A";"";"15424";"Não Homologação de ANPP";"12477.0";"";"";"4"
"A";"";"15425";"Aguardando Apresentação ou Captura de Desertor";"25.0";"";"";"4"
"A";"";"15426";"Captura ou Apresentação de Desertor";"108.0";"";"";"4"
"A";"";"15427";"Audiência de Admoestação";"970.0";"";"";"4"
"A";"";"15486";"Medida Protetiva da Lei Maria da Penha";"817.0";"";"";"4"
"A";"";"15487";"Medida Protetiva da Lei Maria da Penha";"888.0";"";"";"4"
"A";"";"15488";"Medida Protetiva da Lei Maria da Penha";"968.0";"";"";"4"
"A";"";"15489";"Medida Protetiva da Lei Maria da Penha";"157.0";"";"";"4"
"A";"";"15490";"Prorrogação de Medida Protetiva da Lei Maria da Penha";"3.0";"";"";"3"
"A";"";"15491";"Medida Protetiva da Lei Henry Borel";"817.0";"";"";"4"
"A";"";"15492";"Medida Protetiva da Lei Henry Borel";"888.0";"";"";"4"
"A";"";"15493";"Medida Protetiva da Lei Henry Borel";"968.0";"";"";"4"
"A";"";"15494";"Medida Protetiva da Lei Henry Borel";"157.0";"";"";"4"
"A";"";"15495";"Prorrogação de Medida Protetiva da Lei Henry Borel";"3.0";"";"";"3"
"A";"";"15496";"Medida de Proteção do Estatuto do Idoso";"817.0";"";"";"4"
"A";"";"15497";"Medida de Proteção do Estatuto do Idoso";"888.0";"";"";"4"
"A";"";"15498";"Medida de Proteção do Estatuto do Idoso";"968.0";"";"";"4"
"A";"";"15499";"Medida de Proteção do Estatuto do Idoso";"157.0";"";"";"4"
"A";"2024-11-12 18:57:42";"15500";"Prorrogação de Medida de Proteção do Estatuto do Idoso";"3.0";"";"";"3"
"A";"";"15501";"Medida de Proteção do Estatuto da Criança e do Adolescente";"817.0";"";"";"4"
"A";"";"15502";"Medida de Proteção do Estatuto da Criança e do Adolescente";"888.0";"";"";"4"
"A";"";"15503";"Medida de Proteção do Estatuto da Criança e do Adolescente";"968.0";"";"";"4"
"A";"";"15504";"Medida de Proteção do Estatuto da Criança e do Adolescente";"157.0";"";"";"4"
"A";"";"15505";"Prorrogação de Medida de Proteção do Estatuto da Criança e do Adolescente";"3.0";"";"";"3"
"A";"";"15506";"Medida de Proteção da Lei 13.431/2017";"817.0";"";"";"4"
"A";"";"15507";"Medida de Proteção da Lei 13.431/2017";"888.0";"";"";"4"
"A";"";"15508";"Medida de Proteção da Lei 13.431/2017";"968.0";"";"";"4"
"A";"";"15509";"Medida de Proteção da Lei 13.431/2017";"157.0";"";"";"4"
"A";"2024-11-13 14:07:33";"15510";"Prorrogação de Medida de Proteção da Lei 13.431/2017";"3.0";"";"";"3"
"A";"";"15530";"Iniciada Tramitação Interna do PIC do MP";"48.0";"";"";"3"
"A";"";"15531";"Finalizada Tramitação Interna do PIC no MP";"48.0";"";"";"3"
"A";"";"15538";"Menagem";"817.0";"15539,15540";"15539,15540";"4"
"A";"";"15539";"Menagem-Liberdade";"15538.0";"";"";"5"
"A";"";"15540";"Menagem-Prisão";"15538.0";"";"";"5"
"A";"";"15541";"Menagem";"968.0";"";"";"4"
"A";"";"15542";"Menagem";"157.0";"";"";"4"
"A";"";"15547";"Erro/Falha na Intimação";"12264.0";"";"";"5"
"A";"";"15548";"Erro/Falha na Citação";"12286.0";"";"";"5"
"A";"";"15561";"Envio para Juízo de Retratação";"11009.0";"15562,15563,15564,15565";"15562,15563,15564,15565";"3"
"A";"";"15562";"Por Divergência de Entendimento com o STF";"15561.0";"";"";"4"
"A";"";"15563";"Por Divergência de Entendimento com o STJ";"15561.0";"";"";"4"
"A";"";"15564";"Por Divergência de Entendimento com o TST";"15561.0";"";"";"4"
"A";"";"15565";"Por Divergência de Entendimento com a TNU";"15561.0";"";"";"4"
"A";"";"15569";"Para Homologação de Acordo de Não Persecução Penal";"970.0";"";"";"4"
"A";"";"15579";"Reabilitação Criminal";"968.0";"";"";"4"
"A";"";"15580";"Reabilitação Criminal";"817.0";"";"";"4"
"A";"";"15581";"Reabilitação Criminal";"157.0";"";"";"4"
"A";"";"15582";"Indulto";"968.0";"";"";"4"
"A";"";"15583";"Comutação";"968.0";"";"";"4"
"A";"";"15585";"Oficina de Pais";"48.0";"";"";"3"
"A";"";"15587";"Descumprimento de Medida Protetiva da Lei Henry Borel";"3.0";"";"";"3"
"A";"";"15589";"Homologação de Cálculos";"378.0";"";"";"4"
"A";"";"15621";"Negação de Seguimento ao Recurso Extraordinário (Tema RG)";"3.0";"";"";"3"
"A";"2025-09-02 18:19:33";"15622";"Negação de Seguimento ao Recurso Especial (Tema Repetitivo)";"3.0";"";"";"3"
"A";"";"15625";"Devolução de Autos - Tema Repetitivo IAC do STJ";"3.0";"";"";"3"
"A";"";"15626";"Devolução de Autos - Afetação de Tema de Repercussão Geral";"3.0";"";"";"3"
"A";"";"15627";"Devolução de Autos - Afetação de Tema Repetitivo";"3.0";"";"";"3"
"A";"";"15693";"Negação de Seguimento a Recurso de Revista por Uniformização de Tese em Recurso Repetitivo";"3.0";"";"";"3"
"A";"";"15695";"Remessa para Admissibilidade Recursal";"48.0";"";"";"3"
"A";"";"15696";"Remessa ao Relator para Diligências";"48.0";"";"";"3"
"A";"";"15711";"Facilitador";"12522.0";"15712,15713";"15712,15713";"3"
"A";"";"15712";"Realização Frutífera de Procedimentos Restaurativos";"15711.0";"";"";"4"
"A";"";"15713";"Realização Infrutífera de Procedimentos Restaurativos";"15711.0";"";"";"4"
"A";"";"15714";"Sessão Restaurativa - Pré-Encontro";"15102.0";"";"";"4"
"A";"";"15715";"Sessão Restaurativa - Encontro";"15102.0";"";"";"4"
"A";"";"15716";"Sessão Restaurativa Pós-Encontro";"15102.0";"";"";"4"
"A";"";"15717";"Derivação para a Justiça Restaurativa";"1013.0";"";"";"4"
"A";"";"15718";"Remessa para a Justiça Restaurativa";"48.0";"";"";"3"
"A";"";"15719";"Recebido na Justiça Restaurativa";"48.0";"";"";"3"
"A";"2026-04-09 13:40:45";"15721";"Citação Realizada";"12284.0";"";"";"4"
"A";"";"15725";"Cientificação sobre Ausência de Localização do Devedor ou de seus Bens";"48.0";"";"";"3"
"A";"";"15726";"Citação Expedida";"12284.0";"";"";"4"
"A";"";"15727";"Citação Não Realizada";"12284.0";"";"";"4"
"A";"";"15728";"Intimação Realizada";"12263.0";"";"";"4"
"A";"";"15729";"Intimação Expedida";"12263.0";"";"";"4"
"A";"";"15730";"Acompanhamento de Medida Protetiva de Urgência - Lei Maria da Penha";"48.0";"";"";"3"
"I";"2009-06-29 18:00:35";"56";"Requisição de informações";"3.0";"";"";"3"
"I";"2009-06-29 17:57:24";"63";"Ordenação de entrega de autos";"3.0";"";"";"3"
"I";"2021-07-30 13:18:45";"146";"Não-Homologação de prisão em flagrante";"3.0";"";"";"3"
"I";"2017-05-05 14:02:13";"175";"Prisão em flagrante";"378.0";"";"";"4"
"I";"2021-12-03 16:20:39";"244";"Conversão de Agravo de Instrumento em Agravo Retido";"218.0";"";"";"4"
"I";"2009-06-29 18:17:32";"266";"Julgamento em Diligência";"7.0";"";"";"4"
"I";"2017-05-05 14:49:26";"269";"Impedimento ou Suspeição";"11.0";"";"";"4"
"I";"2009-06-29 09:00:32";"270";"Convenção das Partes";"25.0";"";"";"4"
"I";"2009-06-29 17:34:28";"271";"Exceção de Incompetência, suspeição ou Impedimento";"25.0";"";"";"4"
"I";"2009-06-29 17:49:14";"278";"Recebimento de Embargos à Execução";"25.0";"";"";"4"
"I";"2009-06-29 17:43:16";"279";"Incidente de Insanidade Mental";"25.0";"";"";"4"
"I";"2012-10-15 15:35:44";"355";"Depositário infiel";"113.0";"";"";"4"
"I";"2020-12-04 16:58:15";"377";"Acordo em execução ou em cumprimento de sentença";"378.0";"";"";"4"
"I";"2008-09-30 15:52:47";"390";"Aditamento do libelo";"160.0";"";"";"4"
