movimento_nome,codigo,codigo_pai,complemento,movimento,visibilidade_externa,dispositivo_legal,artigo,alteracoes,glossario,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Medida de Proteção do Estatuto do Idoso,15498,968,,Não concedida a medida de proteção de #{tipo_de_medida_de_proteção_Estatuto_do_Idoso},Sim,Estatuto do Idoso,43 a 45,,Movimento para a registrar a não concessão de medida de proteção prevista no Estatuto do Idoso.,2024-11-12 18:49:29,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 968 > 15498,1 > Decisão > Não-Concessão > Medida de Proteção do Estatuto do Idoso
Medida protetiva,11425,968,,Não concedida medida protetiva,Sim,11.340 (Lei Maria da Penha); 8.069 (ECA); 10.741 (Estatuto do Idoso),22 a 23; 99 a 101; 42 a 45,,"Movimento a ser utilizado para registrar a decisão que não concedeu nenhuma medida protetiva a mulher (Lei Maria da Penha), idoso ou criança/adolescente, com fundamento nas legislações específicas.",2010-03-05 00:00:00,2024-11-12 16:40:28,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 968 > 11425,1 > Decisão > Não-Concessão > Medida protetiva
Medida Protetiva da Lei Henry Borel,15493,968,,Não concedida a medida protetiva de #{tipo_de_medida_protetiva_Lei_Henry_Borel},Sim,Lei Henry Borel,15 a 21,,Movimento para registrar a não concessão de medida protetiva requerida com fundamento em situação de violência doméstica e familiar contra criança ou adolescente (Lei Henry Borel).,2024-11-12 18:12:11,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 968 > 15493,1 > Decisão > Não-Concessão > Medida Protetiva da Lei Henry Borel
Medida Protetiva da Lei Maria da Penha,15488,968,,Não concedida a medida protetiva de #{tipo_de_medida_protetiva_Lei_Maria_da_Penha},Sim,Lei Maria da Penha,18 a 24,,Movimento para registrar a não concessão de medida protetiva requerida com fundamento de violência doméstica e familiar contra a mulher (Lei Maria da Penha).,2024-11-12 16:42:16,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 968 > 15488,1 > Decisão > Não-Concessão > Medida Protetiva da Lei Maria da Penha
Tutela Provisória,785,968,Identificador - parte;,Não Concedida a tutela provisória,Sim,CPC,294 a 311,,Indica a decisão que não concede a ordem antecipativa. Não confundir com Decisão \Não-Concessão\Liminar. Registrar conforme a deliberação do magistrado.,2008-09-30 15:52:47,2024-09-26 12:48:41,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 968 > 785,1 > Decisão > Não-Concessão > Tutela Provisória
Não-Homologação,12477,3,,Decisão ou despacho de não homologação,Sim,,,,Decisão ou despacho de não homologação,2019-07-04 00:00:00,2021-09-28 14:57:59,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12477,1 > Decisão > Não-Homologação
Não Homologação de ANPP,15424,12477,,Não homologação de ANPP de #{nome_da_parte},Não,Código de Processo Penal,"Art. 28-A, §§ 4º, 7º e 8º",,"Utilizar quando o Juiz não homologar o Acordo de Não Persecução Penal, para o fins no § 8º do artigo 28-A do CPP. Art. 28-A. Não sendo caso de arquivamento e tendo o investigado confessado formal e circunstancialmente a prática de infração penal sem violência ou grave ameaça e com pena mínima inferior a 4 (quatro) anos, o Ministério Público poderá propor acordo de não persecução penal, desde que necessário e suficiente para reprovação e prevenção do crime, mediante as seguintes condições ajustadas cumulativa e alternativamente: ... § 4º Para a homologação do acordo de não persecução penal, será realizada audiência na qual o juiz deverá verificar a sua voluntariedade, por meio da oitiva do investigado na presença do seu defensor, e sua legalidade. ... § 7º O juiz poderá recusar homologação à proposta que não atender aos requisitos legais ou quando não for realizada a adequação a que se refere o § 5º deste artigo. § 8º Recusada a homologação, o juiz devolverá os autos ao Ministério Público para a análise da necessidade de complementação das investigações ou o oferecimento da denúncia.",2024-10-15 12:55:55,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12477 > 15424,1 > Decisão > Não-Homologação > Não Homologação de ANPP
Não-Homologação de prisão em flagrante,146,3,,Prisão em flagrante não homologada,Sim,,,,"Movimento inativado pois houve mudanças no CPP e a prisão em flagrante não pode ser meramente homologada. Ou se decreta a prisão preventiva, concede medidas cautelares diversas da prisão ou concede a liberdade provisória. Assim, ou se deve relaxar a prisão ou realizar algum dos outros procedimentos.",2008-09-30 15:52:47,2021-07-30 13:18:45,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 146,1 > Decisão > Não-Homologação de prisão em flagrante
Não-Recebimento,163,3,,Decisão ou Despacho Não-Recebimento,Sim,,,,,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 163,1 > Decisão > Não-Recebimento
Recurso,804,163,Identificador - parte;,Não recebido o recurso de #{nome_da_parte}.,Sim,,,,"Indica decisão que não recebeu o recurso. Deve referir a data em que a decisão se torna pública, para automatização da contagem de prazos. Os recursos extraordinário, especial e de revista estão tratados como admissão e não-admissão, e a decisão respectiva deve ser registrada por esses movimentos.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 163 > 804,1 > Decisão > Não-Recebimento > Recurso
Negação de Seguimento ao Recurso Extraordinário (Tema RG),15621,3,,Negado seguimento ao recurso extraordinário (tema RG #{numero_tema_RG}),Sim,CPC,"1.030, I, ""a"" e ""b""",,"Movimento a ser aplicado nas hipóteses de negativa de seguimento a recurso extraordinário, nos termos do art. 1.030, I, a e b, do CPC/2015.",2025-09-02 16:35:28,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15621,1 > Decisão > Negação de Seguimento ao Recurso Extraordinário (Tema RG)
Nomeação,12300,3,,Nomeado(a),Sim,,,,,2018-06-26 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12300,1 > Decisão > Nomeação
Advogado Voluntário,12301,12300,,Nomeado advogado voluntário,Sim,Resolução CNJ n. 62/2009 e Resolução CJF n. 558/2007,,,"Indica a decisão que nomeia o advogado voluntário interessado na prestação de assistência jurídica sem contraprestação pecuniária do assitido ou do Estado, a qualquer título. Resolução CJF n. 558/2007 e Resolução CNJ n. 62/2009.",2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12300 > 12301,1 > Decisão > Nomeação > Advogado Voluntário
Curador,12302,12300,,Nomeado curador,Sim,CPC,72,,"Indica a decisão que nomeia o curador, nos termos do art. 72 do CPC .",2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12300 > 12302,1 > Decisão > Nomeação > Curador
Defensor Dativo,12303,12300,,Nomeado defensor dativo,Sim,Lei 1.060/1950 e CPP,5º (Lei 1.060/1950) e 263 (CPP),,"Indica a decisão que nomeia o defensor dativo, nos termos dos arts. 5º da Lei 1.060/1950, 263 do CPP e da Resolução CJF n. 558/2007.",2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12300 > 12303,1 > Decisão > Nomeação > Defensor Dativo
Intérprete/Tradutor,12304,12300,,Nomeado intérprete/tradutor,Sim,CPC e CPP,"162 (CPC) 192, parágrafo único, 193 e 236 (CPP)",,"Indica a decisão que nomeia o intérprete ou tradutor, nos termos dos arts. 162 do CPC, 192, parágrafo único, 193 e 236 do CPP e da Resolução CJF n. 558/2007.",2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12300 > 12304,1 > Decisão > Nomeação > Intérprete/Tradutor
Outros auxiliares de justiça,12305,12300,,Nomeado outro auxiliar da justiça,Sim,,,,"ndica a decisão que nomeia outros auxiliares da justiça, tais como o leiloeiro, o depositário, o administrador etc.",2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12300 > 12305,1 > Decisão > Nomeação > Outros auxiliares de justiça
Perito,12306,12300,,Nomeado perito,Sim,CPC e CPP,"465 (CPC) 135, § 2º e 159, § 1º (CPP)",,"Indica a decisão que nomeia o perito, nos termos dos arts. 465 do CPC, 135, § 2º e 159, § 1º do CPP e da Resolução CJF n. 558/2007.",2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12300 > 12306,1 > Decisão > Nomeação > Perito
Ordenação de entrega de autos,63,3,,Ordenada a entrega dos autos à parte,Sim,,,,"Colocada fora de uso em razão de ter sido considerada despacho. Criada movimentação equivalente no nível Despacho. Aplicável às hipóteses em que há entrega definitiva de autos para a parte (Ex. notificação, protesto judicial etc).",2008-09-30 15:52:47,2009-06-29 17:57:24,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 63,1 > Decisão > Ordenação de entrega de autos
Outras Decisões,12164,3,,Proferidas outras decisões não especificadas,Sim,,,,Somente deve ser utilizada nos casos em que não é possível utilizar os demais movimentos constantes do movimento-pai 3 (Decisão),2017-11-24 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12164,1 > Decisão > Outras Decisões
Prejudicado o Pedido,15223,3,,Prejudicado o pedido de #{nome_da_parte},Sim,CPC,162,,Utilizado para declarar a prejudicialidade do pedido incidente. Só deve ser usado para casos não previstos em movimentos mais específicos. Não deve ser usado quando se declara prejudicado pedido principal.,2023-06-16 15:19:13,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15223,1 > Decisão > Prejudicado o Pedido
Prorrogação de Medida de Proteção da Lei 13.431/2017,15510,3,,Prorrogada a medida de proteção de #{tipo_de_medida_de_proteção_Lei_13431},Sim,Lei 13.431/2017,21,,"Movimento para registrar a prorrogação de medida de proteção prevista na Lei 13.431/2017 anteriormente concedida a criança ou adolescente vítima ou testemunha de violência,",2024-11-13 14:06:50,2024-11-13 14:07:33,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15510,1 > Decisão > Prorrogação de Medida de Proteção da Lei 13.431/2017
Prorrogação de Medida de Proteção do Estatuto da Criança e do Adolescente,15505,3,,Prorrogada a medida de proteção de #{tipo_de_medida_de_proteção_ECA},Sim,ECA,99 a 102,,Movimento para registrar a prorrogação de medida de proteção anteriormente concedida em benefício de criança ou adolescente.,2024-11-13 13:23:10,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15505,1 > Decisão > Prorrogação de Medida de Proteção do Estatuto da Criança e do Adolescente
Prorrogação de Medida de Proteção do Estatuto do Idoso,15500,3,,Prorrogada medida de proteção de #{tipo_de_medida_de_proteção_Estatuto_do_Idoso},Sim,Estatuto do Idoso,43 a 45,,Movimento para registrar a prorrogação de medida de proteção anteriormente concedida a pessoa idosa.,2024-11-12 18:56:45,2024-11-12 18:57:42,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15500,1 > Decisão > Prorrogação de Medida de Proteção do Estatuto do Idoso
Prorrogação de Medida Protetiva da Lei Henry Borel,15495,3,,Prorrogada a medida protetiva de #{tipo_de_medida_protetiva_da_Lei_Henry_Borel},Sim,Lei Henry Borel,15 a 21,,Movimento para registrar a prorrogação de medida protetiva anteriormente concedida com fundamento em violência doméstica e familair contra criança ou adolescente (Lei Heny Borel).,2024-11-12 18:20:24,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15495,1 > Decisão > Prorrogação de Medida Protetiva da Lei Henry Borel
Prorrogação de Medida Protetiva da Lei Maria da Penha,15490,3,,Prorrogada a medida protetiva de #{tipo_de_medida_protetiva_Lei_Maria_da_Penha},Sim,Lei Maria da Penha,18 a 24,,Movimento para registrar a prorrogação de medida protetiva anteriormente concedida embasada em situações de violência doméstica e familair contra a mulher (Lei Maria da Penha).,2024-11-12 16:56:48,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 15490,1 > Decisão > Prorrogação de Medida Protetiva da Lei Maria da Penha
Prorrogado prazo de conclusão,12332,3,,Prorrogado prazo de conclusão,Sim,,,,Movimento para prorrogamento de prazo de conclusão de procedimento.,2018-06-27 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12332,1 > Decisão > Prorrogado prazo de conclusão
Recebimento,160,3,,Decisão ou Despacho Recebimento,Sim,,,,,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160,1 > Decisão > Recebimento
Aditamento da denúncia,388,160,Identificador - parte;,Recebido aditamento à denúncia contra #{nome_da_parte},Sim,CPP; CPPM,569; 78 § 1º,,"Indica a decisão do Juiz que admitiu o aditamento da denúncia. CPP Art. 569. As omissões da denúncia ou da queixa, da representação, ou, nos processos das contravenções penais, da portaria ou do auto de prisão em flagrante, poderão ser supridas a todo o tempo, antes da sentença final. CPPM Art. 78. A denúncia não será recebida pelo juiz: (...) Preenchimento de requisitos § 1º No caso da alínea a , o juiz antes de rejeitar a denúncia, mandará, em despacho fundamentado, remeter o processo ao órgão do Ministério Público para que, dentro do prazo de três dias, contados da data do recebimento dos autos, sejam preenchidos os requisitos que não o tenham sido.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 388,1 > Decisão > Recebimento > Aditamento da denúncia
Aditamento da queixa,389,160,Identificador - parte;,Recebido aditamento à queixa contra #{nome_da_parte},Sim,CPP,569,,"Indica a decisão do Juiz que admitiu o aditamento da queixa. CPP. Art. 569. As omissões da denúncia ou da queixa, da representação, ou, nos processos das contravenções penais, da portaria ou do auto de prisão em flagrante, poderão ser supridas a todo o tempo, antes da sentença final.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 389,1 > Decisão > Recebimento > Aditamento da queixa
Denúncia,391,160,Identificador - parte;,Recebida a denúncia contra #{nome_da_parte},Sim,CPP; CPPM,"394; 35, 396, 492",,"Indica a decisão que recebeu a denúncia. Deve se referir à data em que a decisão foi proferida (CP 117 I), para automatizar a contagem do prazo da prescrição. CPP Art. 394. O juiz, ao receber a queixa ou denúncia, designará dia e hora para o interrogatório, ordenando a citação do réu e a notificação do Ministério Público e, se for caso, do querelante ou do assistente. CPPM Relação processual. Início e extinção Art. 35. O processo inicia-se com o recebimento da denúncia pelo juiz, efetiva-se com a citação do acusado e extingue-se no momento em que a sentença definitiva se torna irrecorrível, quer resolva o mérito, quer não. Início do processo ordinário Art. 396. O processo ordinário inicia-se com o recebimento da denúncia. Recebimento da denúncia Art. 492. Recebida a denúncia, mandará o relator citar o denunciado e intimar as testemunhas.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 391,1 > Decisão > Recebimento > Denúncia
Emenda a inicial,12261,160,,Recebida a emenda à inicial,Sim,,,,"Movimento ""recebimento de emenda a inicial"" para os casos respectivos ocorridos no processo civil.",2018-06-25 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 12261,1 > Decisão > Recebimento > Emenda a inicial
Queixa,393,160,Identificador - parte;,Recebida a queixa contra #{nome_da_parte},Sim,CPP,394,,"Indica a decisão que recebeu a queixa. Deve se referir à data em que a decisão foi proferida (CP 117 I), para automatizar a contagem do prazo da prescrição.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 393,1 > Decisão > Recebimento > Queixa
Recurso,1060,160,,Recebido o recurso,Sim,,,,"O recurso recebido será identificado pelo movimento anterior. Deve referir a data em que a decisão se torna pública, para automatização da contagem de prazos. Os recursos extraordinário, especial e de revista estão tratados como admissão e não-admissão, e a decisão respectiva deve ser registrada por esses movimentos.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 1060,1 > Decisão > Recebimento > Recurso
Com efeito suspensivo,394,1060,,Recebido o recurso Com efeito suspensivo,Sim,,,,"Recurso recebido nos efeitos devolutivo e suspensivo. Se a suspensão for outorgada em decisão apartada, registrar essa nova decisão em Decisão\Concessão de efeito suspensivo\Recurso. O recurso recebido será identificado pelo movimento anterior.",2008-09-30 15:52:47,,,,4,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 1060 > 394,1 > Decisão > Recebimento > Recurso > Com efeito suspensivo
Sem efeito suspensivo,1059,1060,,Recebido o recurso Sem efeito suspensivo,Sim,,,,Recursos recebidos no efeito meramente devolutivo. O recurso recebido será identificado pelo movimento anterior.,2008-09-30 15:52:47,,,,4,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 160 > 1060 > 1059,1 > Decisão > Recebimento > Recurso > Sem efeito suspensivo
Reconhecimento de prevenção,12318,3,,Reconhecida a prevenção,Sim,,,,Movimento usado para quando o magistrado reconhecer a prevenção de competência.,2018-06-27 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12318,1 > Decisão > Reconhecimento de prevenção
Rejeição,138,3,,Decisão ou Despacho Rejeição,Sim,,,,,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138,1 > Decisão > Rejeição
Aditamento da denúncia,399,138,,Rejeitado o aditamento à denúncia,Sim,CPP; CPPM,384; 78,,CPP Art. 384. Decisão que rejeita aditamento à denúncia. CPPM Art. 78. A denúncia não será recebida pelo juiz: a) se não contiver os requisitos expressos no artigo anterior; b) se o fato narrado não constituir evidentemente crime da competência da Justiça Militar; c) se já estiver extinta a punibilidade; d) se fôr manifesta a incompetência do juiz ou a ilegitimidade do acusador.,2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138 > 399,1 > Decisão > Rejeição > Aditamento da denúncia
Aditamento da queixa,400,138,,Rejeitado o aditamento à queixa,Sim,,,,"CPP, art. 384. Decisão que rejeita aditamento à queixa.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138 > 400,1 > Decisão > Rejeição > Aditamento da queixa
Denúncia,402,138,,Rejeitada a denúncia,Sim,CPP; CPPM,43; 78,,"Decisão com efeito extintivo do processo. Deve ser registrada a situação neste item, sem recorrer aos itens de Julgamento. CPP Art. 43. A denúncia ou queixa será rejeitada quando: I - o fato narrado evidentemente não constituir crime; II - já estiver extinta a punibilidade, pela prescrição ou outra causa; III - for manifesta a ilegitimidade da parte ou faltar condição exigida pela lei para o exercício da ação penal. Parágrafo único. Nos casos do no III, a rejeição da denúncia ou queixa não obstará ao exercício da ação penal, desde que promovida por parte legítima ou satisfeita a condição. CPPM CPPM Art. 78. A denúncia não será recebida pelo juiz: a) se não contiver os requisitos expressos no artigo anterior; b) se o fato narrado não constituir evidentemente crime da competência da Justiça Militar; c) se já estiver extinta a punibilidade; d) se fôr manifesta a incompetência do juiz ou a ilegitimidade do acusador.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138 > 402,1 > Decisão > Rejeição > Denúncia
Exceção de Impedimento ou Suspeição,373,138,,Rejeitada exceção de impedimento ou de suspeição,Sim,,,,"Decisão que, nos próprios autos, rejeita a exceção de incompetência ou suspeição. Quando houver incidente próprio, registrar a resolução com Julgamento;Com resolução de mérito. Reconhecido o impedimento ou a suspeição, registrar em Decisão ou Despacho;Acolhimento de exceção.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138 > 373,1 > Decisão > Rejeição > Exceção de Impedimento ou Suspeição
Exceção de incompetência,374,138,,Rejeitada a exceção de incompetência,Sim,,,,"Decisão que, nos próprios autos, rejeita a exceção de incompetência, afirmando o juiz a sua competência. Quando houver incidente próprio, registrar a resolução com Julgamento;Com resolução de mérito. Reconhecida a incompetência, registrar em Decisão ou Despacho;Acolhimento de exceção.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138 > 374,1 > Decisão > Rejeição > Exceção de incompetência
Exceção de pré-executividade,788,138,Identificador - parte;,Rejeitada a exceção de pré-executividade,Sim,,,,"Registra a decisão que resolve a questão posta na exceção, no curso de execução ou de cumprimento de sentença. A doutrina também registra exceção de executividade.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138 > 788,1 > Decisão > Rejeição > Exceção de pré-executividade
Queixa,404,138,,Rejeitada a queixa,Sim,,,,"Decisão com efeito extintivo do processo. Deve ser registrada a situação neste item, sem recorrer aos itens de Julgamento. CPP. Art. 43. A denúncia ou queixa será rejeitada quando: I - o fato narrado evidentemente não constituir crime; II - já estiver extinta a punibilidade, pela prescrição ou outra causa; III - for manifesta a ilegitimidade da parte ou faltar condição exigida pela lei para o exercício da ação penal. Parágrafo único. Nos casos do no III, a rejeição da denúncia ou queixa não obstará ao exercício da ação penal, desde que promovida por parte legítima ou satisfeita a condição.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 138 > 404,1 > Decisão > Rejeição > Queixa
Relaxamento do Flagrante,12141,3,,Relaxado o flagrante,Sim,Código de Processo Penal e ECA,"310, I (CPP); 175 (ECA)",,"Movimento a ser usado tanto no relaxamento da prisão em flagrante quanto no relaxamento da apreensão do adolescente em flagrante. CPP Art. 310. Ao receber o auto de prisão em flagrante, o juiz deverá fundamentadamente: I - relaxar a prisão ilegal; ECA Art. 175. Em caso de não liberação, a autoridade policial encaminhará, desde logo, o adolescente ao representante do Ministério Público, juntamente com cópia do auto de apreensão ou boletim de ocorrência. § 1º Sendo impossível a apresentação imediata, a autoridade policial encaminhará o adolescente à entidade de atendimento, que fará a apresentação ao representante do Ministério Público no prazo de vinte e quatro horas. § 2º Nas localidades onde não houver entidade de atendimento, a apresentação far-se-á pela autoridade policial. À falta de repartição policial especializada, o adolescente aguardará a apresentação em dependência separada da destinada a maiores, não podendo, em qualquer hipótese, exceder o prazo referido no parágrafo anterior.",2017-05-05 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 12141,1 > Decisão > Relaxamento do Flagrante
Requisição de informações,56,3,,Decisão Requisita Informações,Sim,,,,"Colocada fora de uso em razão de ter sido considerada despacho. Criada movimentação equivalente no nível Despacho. Ordem do Juiz a qualquer pessoa para que preste informações relevantes para a solução do processo. Pode ser instrumentalizada por ofício, mandado, intimação eletrônica, carta precatória, ou qualquer outro meio de comunicação.",2008-09-30 15:52:47,2009-06-29 18:00:35,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 56,1 > Decisão > Requisição de informações
Revogação,157,3,,Decisão ou Despacho Revogação,Não,,,,Decisões que interrompem a eficácia de decisões anteriores.,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 157,1 > Decisão > Revogação
Decisão anterior,945,157,Identificador - tipo e data da decisão anterior;,Revogada decisão anterior #{tipo_da_decisao_anterior} datada de #{data},Sim,,,,"Referir a decisão anterior tanto quanto possível, especialmente incluindo a data em que foi proferida.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 157 > 945,1 > Decisão > Revogação > Decisão anterior
Detração/Remição,12145,157,,Detração/remissão revogada,Sim,,,,Indica a decisão que revoga a detração ou a remissão da pena.,2017-05-05 00:00:00,2017-05-05 14:43:57,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 157 > 12145,1 > Decisão > Revogação > Detração/Remição
Gratuidade de Justiça,349,157,,Revogada a gratuidade de justiça,Sim,CPC,"98, § 1º e 100",,"Art. 98 ... § 1º A gratuidade da justiça compreende: I - as taxas ou as custas judiciais; II - os selos postais; III - as despesas com publicação na imprensa oficial, dispensando-se a publicação em outros meios; IV - a indenização devida à testemunha que, quando empregada, receberá do empregador salário integral, como se em serviço estivesse; V - as despesas com a realização de exame de código genético - DNA e de outros exames considerados essenciais; VI - os honorários do advogado e do perito e a remuneração do intérprete ou do tradutor nomeado para apresentação de versão em português de documento redigido em língua estrangeira; VII - o custo com a elaboração de memória de cálculo, quando exigida para instauração da execução; VIII - os depósitos previstos em lei para interposição de recurso, para propositura de ação e para a prática de outros atos processuais inerentes ao exercício da ampla defesa e do contraditório; IX - os emolumentos devidos a notários ou registradores em decorrência da prática de registro, averbação ou qualquer outro ato notarial necessário à efetivação de decisão judicial ou à continuidade de processo judicial no qual o benefício tenha sido concedido. ... Art. 100. Deferido o pedido, a parte contrária poderá oferecer impugnação na contestação, na réplica, nas contrarrazões de recurso ou, nos casos de pedido superveniente ou formulado por terceiro, por meio de petição simples, a ser apresentada no prazo de 15 (quinze) dias, nos autos do próprio processo, sem suspensão de seu curso. Parágrafo único. Revogado o benefício, a parte arcará com as despesas processuais que tiver deixado de adiantar e pagará, em caso de má-fé, até o décuplo de seu valor a título de multa, que será revertida em benefício da Fazenda Pública estadual ou federal e poderá ser inscrita em dívida ativa.",2008-09-30 15:52:47,2024-10-15 14:25:30,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 157 > 349,1 > Decisão > Revogação > Gratuidade de Justiça
Liminar,348,157,,Revogada a Medida Liminar,Sim,,,,,2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 157 > 348,1 > Decisão > Revogação > Liminar
Livramento Condicional,1004,157,,Revogado o Livramento Condicional,Não,CPP; CPPM,"726, 727; 631, 632",,"Hipótese que ocorre durante a execução da pena. CPP Art. 726. Revogar-se-á o livramento condicional, se o liberado vier, por crime ou contravenção, a ser condenado por sentença irrecorrível a pena privativa de liberdade. Art. 727. O juiz pode, também, revogar o livramento, se o liberado deixar de cumprir qualquer das obrigações constantes da sentença, de observar proibições inerentes à pena acessória ou for irrecorrivelmente condenado, por crime, à pena que não seja privativa da liberdade. CPPM Revogação da medida por condenação durante a sua vigência Art. 631. Se por crime ou contravenção penal vier o liberado a ser condenado a pena privativa da liberdade, por sentença irrecorrível, será revogado o livramento condicional. Revogação por outros motivos Art. 632. Poderá também ser revogado o livramento se o liberado: a) deixar de cumprir quaisquer das obrigações constantes da sentença; b) fôr irrecorrìvelmente condenado, por motivo de contravenção penal, embora a pena não seja privativa da liberdade; c) sofrer, se militar, punição por transgressão disciplinar considerada grave.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,1 > 3 > 157 > 1004,1 > Decisão > Revogação > Livramento Condicional
