documento,codigo,codigo_pai,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Certidão de Decurso de Prazo,483,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 483,Internos > Certidão > Certidão de Decurso de Prazo
Certidão de Deportação/Expulsão/Extradição,15351,402,2024-04-09 13:19:33,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 15351,Internos > Certidão > Certidão de Deportação/Expulsão/Extradição
Certidão de Desarquivamento,14455,402,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 14455,Internos > Certidão > Certidão de Desarquivamento
Certidão de Desconstituição da Penhora,484,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 484,Internos > Certidão > Certidão de Desconstituição da Penhora
Certidão de Desentranhamento,485,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 485,Internos > Certidão > Certidão de Desentranhamento
Certidão de Devolução de AR,486,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 486,Internos > Certidão > Certidão de Devolução de AR
Certidão de Devolução de AR por Ausência,759,486,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 486 > 759,Internos > Certidão > Certidão de Devolução de AR > Certidão de Devolução de AR por Ausência
Certidão de Devolução de AR por Cumprimento,760,486,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 486 > 760,Internos > Certidão > Certidão de Devolução de AR > Certidão de Devolução de AR por Cumprimento
Certidão de Devolução de AR por Desconhecimento,761,486,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 486 > 761,Internos > Certidão > Certidão de Devolução de AR > Certidão de Devolução de AR por Desconhecimento
Certidão de Devolução de AR por Insuficiência de Endereço,762,486,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 486 > 762,Internos > Certidão > Certidão de Devolução de AR > Certidão de Devolução de AR por Insuficiência de Endereço
Certidão de Devolução de AR por Mudança de Endereço,763,486,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 486 > 763,Internos > Certidão > Certidão de Devolução de AR > Certidão de Devolução de AR por Mudança de Endereço
Certidão de Devolução dos Autos,487,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 487,Internos > Certidão > Certidão de Devolução dos Autos
Certidão de Digitalização,488,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 488,Internos > Certidão > Certidão de Digitalização
Certidão de Distribuição,489,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 489,Internos > Certidão > Certidão de Distribuição
Certidão de Dívida Ativa (CDA),490,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 490,Internos > Certidão > Certidão de Dívida Ativa (CDA)
Certidão de Expedição,491,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 491,Internos > Certidão > Certidão de Expedição
Certidão de Expedição (Outras),764,491,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 491 > 764,Internos > Certidão > Certidão de Expedição > Certidão de Expedição (Outras)
Certidão de Expedição de AR,765,491,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 491 > 765,Internos > Certidão > Certidão de Expedição > Certidão de Expedição de AR
Certidão de Expedição de Documento,14580,402,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 14580,Internos > Certidão > Certidão de Expedição de Documento
Certidão de Extinção de Punibilidade por Morte,492,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 492,Internos > Certidão > Certidão de Extinção de Punibilidade por Morte
Certidão de Falta de Páginas,493,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 493,Internos > Certidão > Certidão de Falta de Páginas
Certidão de Fatos,494,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 494,Internos > Certidão > Certidão de Fatos
Certidão de Gabinete,495,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 495,Internos > Certidão > Certidão de Gabinete
Certidão de Inadimplência,14581,402,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 14581,Internos > Certidão > Certidão de Inadimplência
Certidão de Inclusão,496,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 496,Internos > Certidão > Certidão de Inclusão
Certidão de Inclusão em Cadastro de Inadimplente,766,496,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 496 > 766,Internos > Certidão > Certidão de Inclusão > Certidão de Inclusão em Cadastro de Inadimplente
Certidão de Inclusão em Pauta,767,496,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 496 > 767,Internos > Certidão > Certidão de Inclusão > Certidão de Inclusão em Pauta
Certidão de Indisponibilidade de Bens,15697,402,2026-01-28 16:23:51,2026-01-28 17:12:12,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 15697,Internos > Certidão > Certidão de Indisponibilidade de Bens
Certidão de Inscrição de Penhora,497,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 497,Internos > Certidão > Certidão de Inscrição de Penhora
Certidão de Inspeção,498,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 498,Internos > Certidão > Certidão de Inspeção
Certidão de Inteiro Teor,499,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 499,Internos > Certidão > Certidão de Inteiro Teor
Certidão de Interposição de Recurso,500,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 500,Internos > Certidão > Certidão de Interposição de Recurso
Certidão de Intimação,501,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 501,Internos > Certidão > Certidão de Intimação
Certidão de Intimação (Outros),768,501,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 501 > 768,Internos > Certidão > Certidão de Intimação > Certidão de Intimação (Outros)
Certidão de Intimação por Telefone,769,501,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 501 > 769,Internos > Certidão > Certidão de Intimação > Certidão de Intimação por Telefone
Certidão de Inventariante,502,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 502,Internos > Certidão > Certidão de Inventariante
Certidão de Julgamento,503,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 503,Internos > Certidão > Certidão de Julgamento
Certidão de Julgamento (Outros),770,503,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 503 > 770,Internos > Certidão > Certidão de Julgamento > Certidão de Julgamento (Outros)
Certidão de Julgamento Colegiado,771,503,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 503 > 771,Internos > Certidão > Certidão de Julgamento > Certidão de Julgamento Colegiado
Certidão de Juntada,504,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 504,Internos > Certidão > Certidão de Juntada
Certidão de Levantamento de Suspensão,15571,402,2025-06-18 14:39:14,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 15571,Internos > Certidão > Certidão de Levantamento de Suspensão
Certidão de Militância,505,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 505,Internos > Certidão > Certidão de Militância
Certidão de Não Apresentação de Contrarrazões,506,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 506,Internos > Certidão > Certidão de Não Apresentação de Contrarrazões
Certidão de Não Apresentação de Contrarrazões do Recurso Especial,15578,402,2025-06-18 14:55:35,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 15578,Internos > Certidão > Certidão de Não Apresentação de Contrarrazões do Recurso Especial
Certidão de Não Apresentação de Contrarrazões do Recurso Extraordinário,15577,402,2025-06-18 14:52:57,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 15577,Internos > Certidão > Certidão de Não Apresentação de Contrarrazões do Recurso Extraordinário
Certidão de Não Interposição de Recurso,507,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 507,Internos > Certidão > Certidão de Não Interposição de Recurso
Certidão de Narrativa/Andamento,508,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 508,Internos > Certidão > Certidão de Narrativa/Andamento
Certidão de Oficial de Justiça,509,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 509,Internos > Certidão > Certidão de Oficial de Justiça
Certidão de Página Ilegível,510,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 510,Internos > Certidão > Certidão de Página Ilegível
Certidão de Pedido de Gratuidade de Justiça,511,402,2021-01-14 00:00:00,2024-10-15 14:49:09,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 511,Internos > Certidão > Certidão de Pedido de Gratuidade de Justiça
Certidão de Pedido de Vista,512,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 512,Internos > Certidão > Certidão de Pedido de Vista
Certidão de Penhora no Rosto dos Autos,513,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 513,Internos > Certidão > Certidão de Penhora no Rosto dos Autos
Certidão de Protesto,514,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 514,Internos > Certidão > Certidão de Protesto
Certidão de Publicação,515,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 515,Internos > Certidão > Certidão de Publicação
Certidão de Quitação de Precatório/RPV,516,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 516,Internos > Certidão > Certidão de Quitação de Precatório/RPV
Certidão de Redistribuição,517,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 517,Internos > Certidão > Certidão de Redistribuição
Certidão de Reenvio de Autos,518,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 518,Internos > Certidão > Certidão de Reenvio de Autos
Certidão de Registro de Impedimento,519,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 519,Internos > Certidão > Certidão de Registro de Impedimento
Certidão de Remessa,520,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 520,Internos > Certidão > Certidão de Remessa
Certidão de Republicação,521,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 521,Internos > Certidão > Certidão de Republicação
Certidão de Retificação,523,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 523,Internos > Certidão > Certidão de Retificação
Certidão de Retirada de Pauta,522,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 522,Internos > Certidão > Certidão de Retirada de Pauta
Certidão de Suspensão de Direitos Políticos,524,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 524,Internos > Certidão > Certidão de Suspensão de Direitos Políticos
Certidão de Tramitação Física,525,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 525,Internos > Certidão > Certidão de Tramitação Física
Certidão de Transcurso de Prazo,526,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 526,Internos > Certidão > Certidão de Transcurso de Prazo
Certidão de Trânsito em Julgado,527,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 527,Internos > Certidão > Certidão de Trânsito em Julgado
Certidão de Traslado,15570,402,2025-06-18 14:31:12,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 15570,Internos > Certidão > Certidão de Traslado
Certidão de Triagem,528,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 528,Internos > Certidão > Certidão de Triagem
Certidão de Validação de Peças Digitalizadas,529,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 529,Internos > Certidão > Certidão de Validação de Peças Digitalizadas
Certidão de Vista Pessoal,530,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 530,Internos > Certidão > Certidão de Vista Pessoal
Certidão Geral de Curatela,531,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 531,Internos > Certidão > Certidão Geral de Curatela
Certidão Judicial,532,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 532,Internos > Certidão > Certidão Judicial
Certidão Negativa de Débitos Trabalhistas (CNDT),533,402,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 402 > 533,Internos > Certidão > Certidão Negativa de Débitos Trabalhistas (CNDT)
Comunicação,15324,2,2024-04-09 12:29:25,,,,1,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 15324,Internos > Comunicação
Comunicação de Alteração de Regime Prisional,15329,15324,2024-04-09 12:38:14,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 15324 > 15329,Internos > Comunicação > Comunicação de Alteração de Regime Prisional
Comunicação de Alteração de Unidade Prisional,15328,15324,2024-04-09 12:36:37,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 15324 > 15328,Internos > Comunicação > Comunicação de Alteração de Unidade Prisional
Comunicação de Evasão,15327,15324,2024-04-09 12:34:42,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 15324 > 15327,Internos > Comunicação > Comunicação de Evasão
Comunicação de Fuga,15325,15324,2024-04-09 12:31:48,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 15324 > 15325,Internos > Comunicação > Comunicação de Fuga
Comunicação de Saída Temporária,15326,15324,2024-04-09 12:33:27,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 15324 > 15326,Internos > Comunicação > Comunicação de Saída Temporária
Cópia,403,2,2021-01-14 00:00:00,,,,1,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 403,Internos > Cópia
Decisão,404,2,2021-01-14 00:00:00,,,,1,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404,Internos > Decisão
Acórdão,536,404,2021-01-14 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536,Internos > Decisão > Acórdão
Acórdão da Apelação,14292,536,2021-03-23 00:00:00,2021-03-23 14:54:50,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14292,Internos > Decisão > Acórdão > Acórdão da Apelação
Acórdão da Turma Nacional,14293,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14293,Internos > Decisão > Acórdão > Acórdão da Turma Nacional
Acórdão da Turma Recursal,14294,536,2021-03-23 00:00:00,2025-04-28 15:25:16,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14294,Internos > Decisão > Acórdão > Acórdão da Turma Recursal
Acórdão da Turma Regional,14295,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14295,Internos > Decisão > Acórdão > Acórdão da Turma Regional
Acórdão de Admissibilidade do IRDR,14296,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14296,Internos > Decisão > Acórdão > Acórdão de Admissibilidade do IRDR
Acórdão do Agravo de Instrumento,14297,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14297,Internos > Decisão > Acórdão > Acórdão do Agravo de Instrumento
Acórdão do Agravo Interno,15576,536,2025-06-18 14:50:27,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 15576,Internos > Decisão > Acórdão > Acórdão do Agravo Interno
"Glossário: Peça a ser utilizada para identificar o Acórdão proferido para julgar o Agravo Interno interposto, nos termos do art. 1.021 do CPC.",1021,1021,,,,,1,D,78_Tabela_Documentos_Processuais_Impressao.sql,1021,"Glossário: Peça a ser utilizada para identificar o Acórdão proferido para julgar o Agravo Interno interposto, nos termos do art. 1.021 do CPC."
Acórdão do Agravo Regimental,14298,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14298,Internos > Decisão > Acórdão > Acórdão do Agravo Regimental
Acórdão do STF,15574,536,2025-06-18 14:46:42,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 15574,Internos > Decisão > Acórdão > Acórdão do STF
Acórdão do STJ,15575,536,2025-06-18 14:48:23,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 15575,Internos > Decisão > Acórdão > Acórdão do STJ
Acórdão dos Embargos de Declaração,14299,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14299,Internos > Decisão > Acórdão > Acórdão dos Embargos de Declaração
Acórdão dos Embargos de Declaração nos Embargos Infringentes,14300,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14300,Internos > Decisão > Acórdão > Acórdão dos Embargos de Declaração nos Embargos Infringentes
Acórdão dos Embargos Infringentes,14301,536,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 14301,Internos > Decisão > Acórdão > Acórdão dos Embargos Infringentes
Comunicação,941,536,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 941,Internos > Decisão > Acórdão > Comunicação
Ementa,775,536,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 775,Internos > Decisão > Acórdão > Ementa
Esclarecimentos,776,536,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 776,Internos > Decisão > Acórdão > Esclarecimentos
Extrato da Ata,777,536,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 777,Internos > Decisão > Acórdão > Extrato da Ata
Nota Oral,778,536,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,2 > 404 > 536 > 778,Internos > Decisão > Acórdão > Nota Oral
