documento,codigo,codigo_pai,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Ações processuais,3,1,2021-01-11 00:00:00,,,,1,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3,1 > Ações processuais
Acordo,11,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11,1 > Ações processuais > Acordo
Acordo (Outros),143,11,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 143,1 > Ações processuais > Acordo > Acordo (Outros)
Acordo de Divórcio,14274,11,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 14274,1 > Ações processuais > Acordo > Acordo de Divórcio
Acordo de Não-Persecução Penal,142,11,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 142,1 > Ações processuais > Acordo > Acordo de Não-Persecução Penal
Acordo Extrajudicial,14307,11,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 14307,1 > Ações processuais > Acordo > Acordo Extrajudicial
Acordo Resp. Parentais,14275,11,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 11 > 14275,1 > Ações processuais > Acordo > Acordo Resp. Parentais
Aditamento,7,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7,1 > Ações processuais > Aditamento
Aditamento (Outros),139,7,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7 > 139,1 > Ações processuais > Aditamento > Aditamento (Outros)
Aditamento à Denúncia,54,7,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7 > 54,1 > Ações processuais > Aditamento > Aditamento à Denúncia
Aditamento à Inicial,138,7,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 7 > 138,1 > Ações processuais > Aditamento > Aditamento à Inicial
Alegações Finais,8,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 8,1 > Ações processuais > Alegações Finais
Alvará,9,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 9,1 > Ações processuais > Alvará
Apostila,14276,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14276,1 > Ações processuais > Apostila
Apresentação de Quesitos/Indicação de Assistente Técnico,14309,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14309,1 > Ações processuais > Apresentação de Quesitos/Indicação de Assistente Técnico
Arresto,14308,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14308,1 > Ações processuais > Arresto
Assistência Litisconsorcial,140,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 140,1 > Ações processuais > Assistência Litisconsorcial
Assistência Litisconsorcial (Outras),354,140,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 140 > 354,1 > Ações processuais > Assistência Litisconsorcial > Assistência Litisconsorcial (Outras)
Denunciação da Lide,353,140,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 140 > 353,1 > Ações processuais > Assistência Litisconsorcial > Denunciação da Lide
Auto de Prisão em Flagrante Delito,12,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 12,1 > Ações processuais > Auto de Prisão em Flagrante Delito
Balanço Patrimonial,13,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 13,1 > Ações processuais > Balanço Patrimonial
Carta,14,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14,1 > Ações processuais > Carta
Carta Arbitral,144,14,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14 > 144,1 > Ações processuais > Carta > Carta Arbitral
Carta de Concessão,145,14,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14 > 145,1 > Ações processuais > Carta > Carta de Concessão
Carta de Indeferimento,146,14,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14 > 146,1 > Ações processuais > Carta > Carta de Indeferimento
Carta de Ordem,147,14,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14 > 147,1 > Ações processuais > Carta > Carta de Ordem
Carta Precatória,148,14,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14 > 148,1 > Ações processuais > Carta > Carta Precatória
Certidão Dirigentes Partidários - SGIP,14517,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14517,1 > Ações processuais > Certidão Dirigentes Partidários - SGIP
Cessão de Crédito,14310,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14310,1 > Ações processuais > Cessão de Crédito
Ciência,15,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 15,1 > Ações processuais > Ciência
Contestação,16,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16,1 > Ações processuais > Contestação
Contestação (Outros),15298,16,2023-11-30 14:21:01,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16 > 15298,1 > Ações processuais > Contestação > Contestação (Outros)
Contestação Previdenciária,15292,16,2023-11-30 14:11:51,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16 > 15292,1 > Ações processuais > Contestação > Contestação Previdenciária
Contestação - Ausência de Requisitos,15296,15292,2023-11-30 14:18:10,,,,4,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16 > 15292 > 15296,1 > Ações processuais > Contestação > Contestação Previdenciária > Contestação - Ausência de Requisitos
Contestação - Complementação de Prova Técnica,15297,15292,2023-11-30 14:20:10,,,,4,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16 > 15292 > 15297,1 > Ações processuais > Contestação > Contestação Previdenciária > Contestação - Complementação de Prova Técnica
Contestação - Inexistência da Qualidade de Segurado Especial,15295,15292,2023-11-30 14:16:50,,,,4,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16 > 15292 > 15295,1 > Ações processuais > Contestação > Contestação Previdenciária > Contestação - Inexistência da Qualidade de Segurado Especial
Contestação - Proposta de Acordo,15293,15292,2023-11-30 14:13:43,,,,4,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16 > 15292 > 15293,1 > Ações processuais > Contestação > Contestação Previdenciária > Contestação - Proposta de Acordo
Contestação - Remessa à Conciliação,15294,15292,2023-11-30 14:15:30,,,,4,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 16 > 15292 > 15294,1 > Ações processuais > Contestação > Contestação Previdenciária > Contestação - Remessa à Conciliação
Contraminuta,17,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 17,1 > Ações processuais > Contraminuta
Contraminuta de Agravo em Recurso Especial,14277,17,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 17 > 14277,1 > Ações processuais > Contraminuta > Contraminuta de Agravo em Recurso Especial
Contraminuta de Agravo em Recurso Extraordinário,14278,17,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 17 > 14278,1 > Ações processuais > Contraminuta > Contraminuta de Agravo em Recurso Extraordinário
Contraminuta do Agravo em Recurso Ordinário,14279,17,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 17 > 14279,1 > Ações processuais > Contraminuta > Contraminuta do Agravo em Recurso Ordinário
Contrarrazões,18,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18,1 > Ações processuais > Contrarrazões
Contrarrazões ao Incidente de Uniformização Nacional,14282,18,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18 > 14282,1 > Ações processuais > Contrarrazões > Contrarrazões ao Incidente de Uniformização Nacional
Contrarrazões ao Incidente de Uniformização Regional,14283,18,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18 > 14283,1 > Ações processuais > Contrarrazões > Contrarrazões ao Incidente de Uniformização Regional
Contrarrazões ao IUSTJ,14284,18,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18 > 14284,1 > Ações processuais > Contrarrazões > Contrarrazões ao IUSTJ
Contrarrazões ao Recurso Especial,14280,18,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18 > 14280,1 > Ações processuais > Contrarrazões > Contrarrazões ao Recurso Especial
Contrarrazões ao Recurso Extraordinário,14281,18,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18 > 14281,1 > Ações processuais > Contrarrazões > Contrarrazões ao Recurso Extraordinário
Contrarrazões ao Recurso Inominado,14285,18,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18 > 14285,1 > Ações processuais > Contrarrazões > Contrarrazões ao Recurso Inominado
Contrarrazões da Apelação,14286,18,2021-03-23 00:00:00,2021-03-23 14:38:10,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 18 > 14286,1 > Ações processuais > Contrarrazões > Contrarrazões da Apelação
Defesa Prévia,19,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 19,1 > Ações processuais > Defesa Prévia
Denúncia,20,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 20,1 > Ações processuais > Denúncia
Abuso de Autoridade,149,20,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 20 > 149,1 > Ações processuais > Denúncia > Abuso de Autoridade
Abuso de Poder Econômico,150,20,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 20 > 150,1 > Ações processuais > Denúncia > Abuso de Poder Econômico
Conduta Vedada Agente Público,152,20,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 20 > 152,1 > Ações processuais > Denúncia > Conduta Vedada Agente Público
Crime Eleitoral,151,20,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 20 > 151,1 > Ações processuais > Denúncia > Crime Eleitoral
Denúncia (Outras),153,20,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 20 > 153,1 > Ações processuais > Denúncia > Denúncia (Outras)
Noticia Inelegibilidade/Condição de Elegibilidade,154,20,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 20 > 154,1 > Ações processuais > Denúncia > Noticia Inelegibilidade/Condição de Elegibilidade
Diligência,14518,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14518,1 > Ações processuais > Diligência
Dissidência Partidária,21,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 21,1 > Ações processuais > Dissidência Partidária
Documento de Comprovação,14519,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14519,1 > Ações processuais > Documento de Comprovação
Documentos Diversos,22,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 22,1 > Ações processuais > Documentos Diversos
Documentos Intermediários - DELPOL,14312,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14312,1 > Ações processuais > Documentos Intermediários - DELPOL
Emenda à Inicial,23,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 23,1 > Ações processuais > Emenda à Inicial
Exceção,24,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24,1 > Ações processuais > Exceção
Exceção da Verdade,14313,24,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24 > 14313,1 > Ações processuais > Exceção > Exceção da Verdade
Exceção de Coisa Julgada,155,24,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24 > 155,1 > Ações processuais > Exceção > Exceção de Coisa Julgada
Exceção de Impedimento,156,24,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24 > 156,1 > Ações processuais > Exceção > Exceção de Impedimento
Exceção de Incompetência,157,24,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24 > 157,1 > Ações processuais > Exceção > Exceção de Incompetência
Exceção de Litispendência,158,24,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24 > 158,1 > Ações processuais > Exceção > Exceção de Litispendência
Exceção de Pré-Executividade,159,24,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24 > 159,1 > Ações processuais > Exceção > Exceção de Pré-Executividade
Exceção de Suspeição,160,24,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 24 > 160,1 > Ações processuais > Exceção > Exceção de Suspeição
Execução/Cumprimento de Sentença,25,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 25,1 > Ações processuais > Execução/Cumprimento de Sentença
Execução da Multa Penal,14314,25,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 25 > 14314,1 > Ações processuais > Execução/Cumprimento de Sentença > Execução da Multa Penal
Execução Definitiva/Cumprimento Definitivo de Sentença,161,25,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 25 > 161,1 > Ações processuais > Execução/Cumprimento de Sentença > Execução Definitiva/Cumprimento Definitivo de Sentença
Execução Provisória/Cumprimento Provisório de Sentença,162,25,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 25 > 162,1 > Ações processuais > Execução/Cumprimento de Sentença > Execução Provisória/Cumprimento Provisório de Sentença
Termo de Abertura de Execução,14523,25,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 25 > 14523,1 > Ações processuais > Execução/Cumprimento de Sentença > Termo de Abertura de Execução
Termo de Abertura de Liquidação,14522,25,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 25 > 14522,1 > Ações processuais > Execução/Cumprimento de Sentença > Termo de Abertura de Liquidação
Exibição,14315,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14315,1 > Ações processuais > Exibição
Expediente,14520,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14520,1 > Ações processuais > Expediente
Impugnação,26,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 26,1 > Ações processuais > Impugnação
Impugnação à Execução,163,26,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 26 > 163,1 > Ações processuais > Impugnação > Impugnação à Execução
Impugnação ao Cumprimento de Decisão,14316,26,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 26 > 14316,1 > Ações processuais > Impugnação > Impugnação ao Cumprimento de Decisão
Impugnação ao Cumprimento de Sentença,164,26,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 26 > 164,1 > Ações processuais > Impugnação > Impugnação ao Cumprimento de Sentença
Impugnação aos Cálculos,165,26,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 26 > 165,1 > Ações processuais > Impugnação > Impugnação aos Cálculos
Impugnação aos Embargos,166,26,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 26 > 166,1 > Ações processuais > Impugnação > Impugnação aos Embargos
Incidente,28,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28,1 > Ações processuais > Incidente
IAC,167,28,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 167,1 > Ações processuais > Incidente > IAC
Incidente (Outros),172,28,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 172,1 > Ações processuais > Incidente > Incidente (Outros)
Incidente de Dependência Toxicológica,168,28,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 168,1 > Ações processuais > Incidente > Incidente de Dependência Toxicológica
Incidente de Excesso ou Desvio,14317,28,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 14317,1 > Ações processuais > Incidente > Incidente de Excesso ou Desvio
Incidente de Insanidade,169,28,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 169,1 > Ações processuais > Incidente > Incidente de Insanidade
Incidente de Perícia de Voz,170,28,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 170,1 > Ações processuais > Incidente > Incidente de Perícia de Voz
Incidente de Uniformização de Jurisprudência,171,28,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 171,1 > Ações processuais > Incidente > Incidente de Uniformização de Jurisprudência
IRDR,173,28,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 28 > 173,1 > Ações processuais > Incidente > IRDR
Informações Prestadas,29,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 29,1 > Ações processuais > Informações Prestadas
Informações - Agravo de Instrumento,14318,29,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 29 > 14318,1 > Ações processuais > Informações Prestadas > Informações - Agravo de Instrumento
Informações - Habeas Corpus,14319,29,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 29 > 14319,1 > Ações processuais > Informações Prestadas > Informações - Habeas Corpus
Informações - Habeas Data,14320,29,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 29 > 14320,1 > Ações processuais > Informações Prestadas > Informações - Habeas Data
Informações da Autoridade Impetrada,174,29,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 29 > 174,1 > Ações processuais > Informações Prestadas > Informações da Autoridade Impetrada
Informações Prestadas (Outras),707,29,2021-01-14 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 29 > 707,1 > Ações processuais > Informações Prestadas > Informações Prestadas (Outras)
Inquérito Policial,30,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 30,1 > Ações processuais > Inquérito Policial
Manifestação,31,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31,1 > Ações processuais > Manifestação
Manifestação (Outras),180,31,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 180,1 > Ações processuais > Manifestação > Manifestação (Outras)
Manifestação - Dilação de Prazo Deferida,176,31,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 176,1 > Ações processuais > Manifestação > Manifestação - Dilação de Prazo Deferida
Manifestação - Dilação de Prazo Indeferida,177,31,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 177,1 > Ações processuais > Manifestação > Manifestação - Dilação de Prazo Indeferida
Manifestação da AGU,178,31,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 178,1 > Ações processuais > Manifestação > Manifestação da AGU
Manifestação da Defensoria Pública,14321,31,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 14321,1 > Ações processuais > Manifestação > Manifestação da Defensoria Pública
Manifestação da PGR,15702,31,2026-01-28 16:54:10,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 15702,1 > Ações processuais > Manifestação > Manifestação da PGR
Manifestação de Desinteresse na Autocomposição (art. 334 CPC),175,31,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 175,1 > Ações processuais > Manifestação > Manifestação de Desinteresse na Autocomposição (art. 334 CPC)
Manifestação do Ministério Público,179,31,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 179,1 > Ações processuais > Manifestação > Manifestação do Ministério Público
Manifestação do Perito,14322,31,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 31 > 14322,1 > Ações processuais > Manifestação > Manifestação do Perito
Memoriais,32,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 32,1 > Ações processuais > Memoriais
Notícia de Inelegibilidade,33,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 33,1 > Ações processuais > Notícia de Inelegibilidade
Outras Comprovações,14521,3,2021-03-23 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 14521,1 > Ações processuais > Outras Comprovações
Outras Peças,34,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 34,1 > Ações processuais > Outras Peças
Parecer da Procuradoria,35,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 35,1 > Ações processuais > Parecer da Procuradoria
Pedido,36,3,2021-01-11 00:00:00,,,,2,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36,1 > Ações processuais > Pedido
Pedido de Remição,14362,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14362,1 > Ações processuais > Pedido > Pedido de Remição
Pedido (Outros),14323,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14323,1 > Ações processuais > Pedido > Pedido (Outros)
Pedido Contraposto,181,36,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 181,1 > Ações processuais > Pedido > Pedido Contraposto
Pedido de Aceite de Bens Oferecidos em Garantia,14324,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14324,1 > Ações processuais > Pedido > Pedido de Aceite de Bens Oferecidos em Garantia
Pedido de Adjudicação,14325,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14325,1 > Ações processuais > Pedido > Pedido de Adjudicação
Pedido de Alvará de Soltura,14326,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14326,1 > Ações processuais > Pedido > Pedido de Alvará de Soltura
Pedido de Anistia,14327,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14327,1 > Ações processuais > Pedido > Pedido de Anistia
Pedido de Arquivamento,182,36,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 182,1 > Ações processuais > Pedido > Pedido de Arquivamento
Pedido de Assistência jurídica,183,36,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 183,1 > Ações processuais > Pedido > Pedido de Assistência jurídica
Pedido de Citação por Edital,14328,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14328,1 > Ações processuais > Pedido > Pedido de Citação por Edital
Pedido de Comutação da Pena,14329,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14329,1 > Ações processuais > Pedido > Pedido de Comutação da Pena
Pedido de Concessão de Livramento Condicional,14331,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14331,1 > Ações processuais > Pedido > Pedido de Concessão de Livramento Condicional
Pedido de Contramandado de Prisão,14330,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14330,1 > Ações processuais > Pedido > Pedido de Contramandado de Prisão
Pedido de Conversão de Pena,14332,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14332,1 > Ações processuais > Pedido > Pedido de Conversão de Pena
Pedido de Conversão de Pena - Superveniência de Doença Mental,14333,36,2021-03-23 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 14333,1 > Ações processuais > Pedido > Pedido de Conversão de Pena - Superveniência de Doença Mental
Pedido de Desarquivamento,184,36,2021-01-11 00:00:00,,,,3,D,78_Tabela_Documentos_Processuais_Impressao.sql,1 > 3 > 36 > 184,1 > Ações processuais > Pedido > Pedido de Desarquivamento
